ISSUE,ALU,MUL,MEM,REG,BREG,execution_cycles,Area
5,6,1,1,63,8,1608,102597.012
2,4,1,1,63,8,1762,61957.922
9,7,1,1,63,8,1608,196784.918
2,7,1,1,63,8,1762,71776.922
10,7,1,1,63,8,1608,227631.047
10,3,1,1,63,8,1689,214539.047
8,9,1,1,63,8,1608,175731.750
10,4,1,1,63,8,1608,217812.047
4,3,1,1,63,8,1689,78166.688
7,6,1,1,63,8,1608,141560.543
10,9,1,1,63,8,1608,234177.047
10,6,1,1,63,8,1608,224358.047
8,6,1,1,63,8,1608,165912.750
2,8,1,1,63,8,1762,75049.922
7,7,1,1,63,8,1608,144833.543
4,7,1,1,63,8,1608,91258.688
4,5,1,1,63,8,1609,84712.688
5,3,1,1,63,8,1689,92778.012
10,10,1,1,63,8,1608,237450.047
4,8,1,1,63,8,1608,94531.688
4,9,1,1,63,8,1608,97804.688
7,10,1,1,63,8,1608,154652.543
3,2,1,1,63,8,1900,63529.324
4,2,1,1,63,8,1900,74893.688
6,3,1,1,63,8,1689,110636.297
3,4,1,1,63,8,1624,70075.324
3,5,1,1,63,8,1625,73348.324
3,6,1,1,63,8,1625,76621.324
2,5,1,1,63,8,1762,65230.922
9,8,1,1,63,8,1608,200057.918
3,9,1,1,63,8,1625,86440.324
8,3,1,1,63,8,1689,156093.750
2,9,1,1,63,8,1762,78322.922
7,3,1,1,63,8,1689,131741.543
2,6,1,1,63,8,1762,68503.922
6,7,1,1,63,8,1608,123728.297
3,8,1,1,63,8,1625,83167.324
6,4,1,1,63,8,1608,113909.297
7,4,1,1,63,8,1608,135014.543
5,10,1,1,63,8,1608,115689.012
8,8,1,1,63,8,1608,172458.750
7,9,1,1,63,8,1608,151379.543
7,8,1,1,63,8,1608,148106.543
8,2,1,1,63,8,1900,152820.750
10,2,1,1,63,8,1900,211266.047
9,9,1,1,63,8,1608,203330.918
9,5,1,1,63,8,1609,190238.918
5,9,1,1,63,8,1608,112416.012
5,4,1,1,63,8,1608,96051.012
4,4,1,1,63,8,1608,81439.688
3,3,1,1,63,8,1689,66802.324
8,10,1,1,63,8,1608,179004.750
3,7,1,1,63,8,1625,79894.324
9,3,1,1,63,8,1689,183692.918
5,5,1,1,63,8,1609,99324.012
10,5,1,1,63,8,1609,221085.047
5,8,1,1,63,8,1608,109143.012
6,10,1,1,63,8,1608,133547.297
6,5,1,1,63,8,1609,117182.297
6,8,1,1,63,8,1608,127001.297
5,7,1,1,63,8,1608,105870.012
8,5,1,1,63,8,1609,162639.750
8,4,1,1,63,8,1608,159366.750
6,9,1,1,63,8,1608,130274.297
7,5,1,1,63,8,1609,138287.543
9,2,1,1,63,8,1900,180419.918
5,2,1,1,63,8,1900,89505.012
10,8,1,1,63,8,1608,230904.047
6,6,1,1,63,8,1608,120455.297
4,6,1,1,63,8,1608,87985.688
2,10,1,1,63,8,1762,81595.922
8,7,1,1,63,8,1608,169185.750
9,6,1,1,63,8,1608,193511.918
2,3,1,1,63,8,1762,58684.922
2,2,1,1,63,8,1900,55411.922
6,2,1,1,63,8,1900,107363.297
9,10,1,1,63,8,1608,206603.918
3,10,1,1,63,8,1625,89713.324
7,2,1,1,63,8,1900,128468.543
4,10,1,1,63,8,1608,101077.688
9,4,1,1,63,8,1608,186965.918
