ISSUE,ALU,MUL,MEM,REG,BREG,execution_cycles,Area
7,3,1,1,63,8,487327,131741.543
2,3,1,1,63,8,657066,58684.922
3,3,1,1,63,8,487327,66802.324
8,9,1,1,63,8,256459,175731.750
5,6,1,1,63,8,364152,102597.012
9,5,1,1,63,8,364152,190238.918
2,6,1,1,63,8,657044,68503.922
6,7,1,1,63,8,337183,123728.297
6,6,1,1,63,8,337245,120455.297
6,3,1,1,63,8,487327,110636.297
8,10,1,1,63,8,256459,179004.750
3,8,1,1,63,8,487286,83167.324
10,10,1,1,63,8,233395,237450.047
10,4,1,1,63,8,398813,217812.047
7,4,1,1,63,8,398813,135014.543
3,5,1,1,63,8,487286,73348.324
9,7,1,1,63,8,279523,196784.918
7,2,1,1,63,8,657130,128468.543
8,5,1,1,63,8,364152,162639.750
5,7,1,1,63,8,364090,105870.012
10,7,1,1,63,8,279523,227631.047
9,6,1,1,63,8,337245,193511.918
8,6,1,1,63,8,337245,165912.750
10,5,1,1,63,8,364152,221085.047
4,2,1,1,63,8,657130,74893.688
7,9,1,1,63,8,279523,151379.543
4,3,1,1,63,8,487327,78166.688
2,7,1,1,63,8,657044,71776.922
7,7,1,1,63,8,279523,144833.543
5,8,1,1,63,8,364090,109143.012
6,10,1,1,63,8,337183,133547.297
9,3,1,1,63,8,487327,183692.918
3,4,1,1,63,8,487287,70075.324
6,4,1,1,63,8,398813,113909.297
6,8,1,1,63,8,337183,127001.297
3,10,1,1,63,8,487286,89713.324
5,10,1,1,63,8,364090,115689.012
6,9,1,1,63,8,337183,130274.297
5,5,1,1,63,8,364152,99324.012
8,2,1,1,63,8,657130,152820.750
3,6,1,1,63,8,487286,76621.324
9,9,1,1,63,8,233395,203330.918
5,3,1,1,63,8,487327,92778.012
8,7,1,1,63,8,279523,169185.750
4,9,1,1,63,8,398814,97804.688
5,4,1,1,63,8,398813,96051.012
4,6,1,1,63,8,398814,87985.688
10,8,1,1,63,8,256459,230904.047
10,2,1,1,63,8,657130,211266.047
8,3,1,1,63,8,487327,156093.750
5,2,1,1,63,8,657130,89505.012
10,9,1,1,63,8,233395,234177.047
4,4,1,1,63,8,398813,81439.688
7,6,1,1,63,8,337245,141560.543
7,8,1,1,63,8,279523,148106.543
7,10,1,1,63,8,279523,154652.543
3,2,1,1,63,8,657130,63529.324
4,10,1,1,63,8,398814,101077.688
3,9,1,1,63,8,487286,86440.324
6,5,1,1,63,8,364152,117182.297
3,7,1,1,63,8,487286,79894.324
2,2,1,1,63,8,657130,55411.922
4,5,1,1,63,8,398814,84712.688
7,5,1,1,63,8,364152,138287.543
2,9,1,1,63,8,657044,78322.922
9,2,1,1,63,8,657130,180419.918
4,7,1,1,63,8,398814,91258.688
10,6,1,1,63,8,337245,224358.047
10,3,1,1,63,8,487327,214539.047
4,8,1,1,63,8,398814,94531.688
9,8,1,1,63,8,256459,200057.918
2,5,1,1,63,8,657044,65230.922
9,4,1,1,63,8,398813,186965.918
8,4,1,1,63,8,398813,159366.750
2,4,1,1,63,8,657044,61957.922
2,10,1,1,63,8,657044,81595.922
9,10,1,1,63,8,233395,206603.918
6,2,1,1,63,8,657130,107363.297
2,8,1,1,63,8,657044,75049.922
8,8,1,1,63,8,256459,172458.750
5,9,1,1,63,8,364090,112416.012
