FPGA idle power [mW]:,3575.0

Program energy [mJ]:,5.47

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,24.6
20000,0.001,74.9
40000,0.002,70.6
60000,0.003,70.6
80000,0.004,51.9
100000,0.005,77.8
120000,0.006,122.4
140000,0.007,53.3
160000,0.008,102.2
180000,0.009,110.9
200000,0.010,118.1
220000,0.011,109.3
240000,0.012,126.7
260000,0.013,139.7
280000,0.014,133.9
300000,0.015,70.6
320000,0.016,113.8
340000,0.017,126.7
360000,0.018,123.8
380000,0.019,109.4
400000,0.020,124.8
420000,0.021,123.8
440000,0.022,118.1
460000,0.023,123.8
480000,0.024,115.2
500000,0.025,122.4
520000,0.026,119.5
540000,0.027,113.8
560000,0.028,126.7
580000,0.029,120.2
600000,0.030,120.9
620000,0.031,118.1
640000,0.032,116.6
660000,0.033,116.6
680000,0.034,122.4
700000,0.035,116.6
720000,0.036,125.3
740000,0.037,108.0
760000,0.038,27.2
780000,0.039,13.0
800000,0.040,15.9
820000,0.041,15.9
840000,0.042,20.2
860000,0.043,20.2
880000,0.044,26.0
900000,0.045,15.9
920000,0.046,21.7
940000,0.047,21.0
960000,0.048,21.7
980000,0.049,15.9
1000000,0.050,17.4
1020000,0.051,10.2
1040000,0.052,13.0
1060000,0.053,21.7
1080000,0.054,11.6
1100000,0.055,15.9
1120000,0.056,16.4
1140000,0.057,20.2
1160000,0.058,13.0
1180000,0.059,11.6
1200000,0.060,17.4
1220000,0.061,17.4
1240000,0.062,15.9
1260000,0.063,18.8
1280000,0.064,17.4
1300000,0.065,22.6
1320000,0.066,20.2
1340000,0.067,20.2
1360000,0.068,18.8
1380000,0.069,18.8
1400000,0.070,14.5
1420000,0.071,21.7
1440000,0.072,20.2
1460000,0.073,21.7
1480000,0.074,21.0
1500000,0.075,15.9
1520000,0.076,20.2
1540000,0.077,18.8
1560000,0.078,23.1
1580000,0.079,18.8
1600000,0.080,13.0
1620000,0.081,17.4
1640000,0.082,18.8
1660000,0.083,17.9
1680000,0.084,14.5
1700000,0.085,20.2
1720000,0.086,18.8
1740000,0.087,15.9
1760000,0.088,20.2
1780000,0.089,13.0
1800000,0.090,15.9
1820000,0.091,17.4
1840000,0.092,17.9
1860000,0.093,17.4
1880000,0.094,21.7
1900000,0.095,21.7
1920000,0.096,21.7
1940000,0.097,20.2
1960000,0.098,17.4
1980000,0.099,24.6
2000000,0.100,15.9
2020000,0.101,17.9
2040000,0.102,20.2
2060000,0.103,10.2
2080000,0.104,15.9
2100000,0.105,17.4
2120000,0.106,18.8
2140000,0.107,15.9
2160000,0.108,24.6
2180000,0.109,27.4
2200000,0.110,21.0
2220000,0.111,15.9
2240000,0.112,20.2
2260000,0.113,17.4
