configuration,dcache,icache,area,executionCycles,energy,timing,cyc,stall,bun,syl,nop,iacc,imiss,dracc,drmiss,dwacc,dwmiss
11111111:1100:8:4k:4k,4k,4k,8319.9,1494154,7.74,True,794707,201476,525162,3026400,761548,593287,893,110632,12158,26359,20248
11000000:1000:2:8k:8k,8k,8k,8931.5,1691162,9.46,True,831065,154235,576953,2501962,246561,676846,384,110631,10029,26356,20174
11000000:1100:8:8k:4k,4k,8k,8331.2,1722504,7.63,True,830607,185561,576967,3440848,1185415,645093,623,110632,12158,26359,20245
11000000:1000:8:2k:2k,2k,2k,8111.499999999999,1901357,7.64,True,957070,312023,576974,3440872,1185424,645099,7840,110633,16187,26361,20299
1111:1111:4:2k:2k,2k,2k,7247.4,2518890,11.40,True,598862,184990,358241,2055596,324169,324781,5051,90758,9652,18758,13991
1111:1111:1100:4:8k:8k,8k,8k,10581.699999999999,1502261,9.96,True,525038,106077,373832,2014935,307740,150248,452,74546,4505,18118,11940
11000000:1100:4:4k:4k,4k,4k,8370.9,1769580,9.10,True,840288,181720,576964,2902811,647382,658615,737,110632,12158,26358,20246
1100:1100:2:8k:8k,8k,8k,7749.5,2148454,11.55,True,496019,72239,348799,1798886,67514,321843,175,92132,3949,19233,13808
11111111:1000:4:2k:2k,2k,2k,8132.5,1686507,7.63,True,913895,306464,525164,2752127,487264,607475,7710,110633,16192,26360,20310
1100:1100:8:2k:2k,2k,2k,7294.5,2826809,9.03,True,737271,342616,351496,2790956,1059402,307400,12436,88731,9539,18501,13816
11000000:2:4k:4k,4k,4k,5789.500000000001,2388444,7.48,True,1422873,205001,1050373,5314316,541893,1217883,409,265922,20090,49280,36936
11000000:1000:2:8k:2k,2k,8k,8073.799999999999,1864960,9.40,True,879348,202518,576953,2501962,246561,676846,384,110631,16197,26356,20307
1111:1111:1000:2:4k:4k,4k,4k,9877.400000000001,1609858,8.27,True,555637,112796,373823,1771891,64714,413696,313,39252,3650,18117,12103
11100000:1000:4:16k:4k,4k,16k,8612.2,1634990,8.91,True,813416,182434,553416,2808618,539061,631017,549,110632,12158,26359,20248
11000000:4:16k:2k,2k,16k,6163.2,2531533,7.02,True,1508288,278810,1050438,6254553,1481965,1229500,558,265927,31852,49294,37077
1000:1000:1000:4:4k:4k,4k,4k,9567.000000000002,1757333,9.63,True,582396,125759,406805,2316373,618582,452313,686,39249,3666,18088,12022
11100000:1000:8:16k:4k,4k,16k,8670.7,1606074,6.38,True,810112,188604,553419,3252461,982898,621545,580,110632,12158,26359,20245
1000:1000:2:4k:4k,4k,4k,7294.0,2149328,9.79,True,895053,150703,624605,2473506,182582,956736,175,166251,14138,16382,13905
11000000:4:4k:4k,4k,4k,6246.500000000001,2433135,8.58,True,1450419,220926,1050465,6254668,1482010,1229532,1597,265930,20090,49299,36944
1111:1111:1100:2:8k:8k,8k,8k,10124.699999999999,1545032,9.78,True,538431,95579,373817,1771873,64711,437020,299,39258,3400,18117,12041
11000000:1000:8:4k:4k,4k,4k,7982.499999999999,1743962,6.44,True,839774,194736,576968,3440848,1185416,645093,896,110632,12158,26359,20242
1111:1111:2:2k:2k,2k,2k,7092.9,2558613,11.11,True,611249,173453,358217,1780047,48672,409286,2673,86357,9446,18811,14051
1111:1111:1100:8:2k:2k,2k,2k,9174.300000000001,1762853,9.21,True,674110,259546,374974,2487131,779901,320220,7668,45305,5605,18022,12050
11000000:4:4k:16k,16k,4k,8394.1,2355423,14.36,True,1403189,173717,1050447,6254592,1481980,1229511,1598,265928,12538,49296,36772
11000000:1000:8:4k:2k,2k,4k,7797.999999999999,1862799,7.81,True,874012,228971,576968,3440848,1185416,645093,896,110632,16187,26359,20302
11100000:1000:8:2k:2k,2k,2k,8062.4,1786581,6.18,True,937467,315969,553425,3252485,982908,621551,7839,110633,16187,26361,20299
11100000:1000:8:8k:8k,8k,8k,8897.9,1552845,7.77,True,795426,173929,553419,3252461,982899,621545,622,110632,10029,26359,20178
1111:1111:8:8k:8k,8k,8k,7729.9,2113819,10.10,True,489023,85379,360491,2865921,1134482,387295,897,89075,3995,19698,13678
11000000:1000:4:8k:8k,8k,8k,8843.0,1712241,9.62,True,823210,164629,576964,2902810,647381,658614,582,110632,10029,26359,20179
11000000:1000:4:8k:2k,2k,8k,7886.799999999999,1887983,8.81,True,873374,214793,576964,2902810,647381,658614,582,110632,16187,26359,20306
11000000:4:4k:4k,4k,4k,6246.500000000001,2433135,8.58,True,1450419,220926,1050465,6254668,1482010,1229532,1597,265930,20090,49299,36944
11000000:2:32k:4k,4k,32k,6428.2,2386635,8.76,True,1422026,204155,1050373,5314316,541893,1217883,333,265922,20090,49280,36936
11111111:1000:2:2k:2k,2k,2k,7848.0,1653306,5.99,True,927071,302048,525156,2445476,180632,625050,8245,110632,16197,26358,20307
