FPGA idle power [mW]:,3543.0

Program energy [mJ]:,6.48

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,-1.0
20000,0.001,42.2
40000,0.002,42.2
60000,0.003,42.2
80000,0.004,42.2
100000,0.005,42.2
120000,0.006,39.3
140000,0.007,27.8
160000,0.008,14.8
180000,0.009,17.7
200000,0.010,19.2
220000,0.011,17.7
240000,0.012,18.9
260000,0.013,24.9
280000,0.014,20.6
300000,0.015,22.0
320000,0.016,23.5
340000,0.017,24.9
360000,0.018,29.2
380000,0.019,14.8
400000,0.020,33.5
420000,0.021,31.3
440000,0.022,35.0
460000,0.023,30.7
480000,0.024,16.3
500000,0.025,52.2
520000,0.026,59.4
540000,0.027,50.8
560000,0.028,53.7
580000,0.029,58.0
600000,0.030,56.1
620000,0.031,56.6
640000,0.032,50.8
660000,0.033,49.4
680000,0.034,59.4
700000,0.035,53.7
720000,0.036,58.0
740000,0.037,59.4
760000,0.038,59.4
780000,0.039,56.1
800000,0.040,53.7
820000,0.041,52.2
840000,0.042,58.0
860000,0.043,43.6
880000,0.044,53.7
900000,0.045,50.8
920000,0.046,56.6
940000,0.047,49.4
960000,0.048,59.2
980000,0.049,58.0
1000000,0.050,52.2
1020000,0.051,56.6
1040000,0.052,50.8
1060000,0.053,55.1
1080000,0.054,59.4
1100000,0.055,49.4
1120000,0.056,45.0
1140000,0.057,54.6
1160000,0.058,56.6
1180000,0.059,55.1
1200000,0.060,52.2
1220000,0.061,56.6
1240000,0.062,56.6
1260000,0.063,47.9
1280000,0.064,50.8
1300000,0.065,60.9
1320000,0.066,56.1
1340000,0.067,53.7
1360000,0.068,52.2
1380000,0.069,53.7
1400000,0.070,56.6
1420000,0.071,47.9
1440000,0.072,56.6
1460000,0.073,52.2
1480000,0.074,55.1
1500000,0.075,53.0
1520000,0.076,52.2
1540000,0.077,58.0
1560000,0.078,60.9
1580000,0.079,53.7
1600000,0.080,53.7
1620000,0.081,52.2
1640000,0.082,55.1
1660000,0.083,52.2
1680000,0.084,53.0
1700000,0.085,50.8
1720000,0.086,65.2
1740000,0.087,52.2
1760000,0.088,56.6
1780000,0.089,52.2
1800000,0.090,58.0
1820000,0.091,49.4
1840000,0.092,53.7
1860000,0.093,54.6
1880000,0.094,49.4
1900000,0.095,60.9
1920000,0.096,56.6
1940000,0.097,53.7
1960000,0.098,53.7
1980000,0.099,53.7
2000000,0.100,50.8
2020000,0.101,52.2
2040000,0.102,60.8
2060000,0.103,47.9
2080000,0.104,55.1
2100000,0.105,56.6
2120000,0.106,47.9
2140000,0.107,58.0
2160000,0.108,50.8
2180000,0.109,53.7
2200000,0.110,53.7
2220000,0.111,46.8
2240000,0.112,26.3
2260000,0.113,40.7
2280000,0.114,59.4
2300000,0.115,49.4
2320000,0.116,47.9
2340000,0.117,56.6
2360000,0.118,49.4
2380000,0.119,55.1
2400000,0.120,46.8
2420000,0.121,46.5
2440000,0.122,56.6
2460000,0.123,50.8
2480000,0.124,45.0
2500000,0.125,56.6
2520000,0.126,52.2
2540000,0.127,53.7
2560000,0.128,45.0
2580000,0.129,46.8
2600000,0.130,47.9
2620000,0.131,53.7
2640000,0.132,49.4
2660000,0.133,55.1
