FPGA idle power [mW]:,3542.8

Program energy [mJ]:,6.40

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,-5.1
20000,0.001,25.1
40000,0.002,30.9
60000,0.003,31.5
80000,0.004,26.5
100000,0.005,28.0
120000,0.006,32.3
140000,0.007,25.1
160000,0.008,19.4
180000,0.009,42.4
200000,0.010,30.9
220000,0.011,35.2
240000,0.012,30.0
260000,0.013,56.8
280000,0.014,49.6
300000,0.015,42.4
320000,0.016,28.0
340000,0.017,55.3
360000,0.018,51.0
380000,0.019,51.0
400000,0.020,53.9
420000,0.021,53.2
440000,0.022,59.6
460000,0.023,52.4
480000,0.024,56.8
500000,0.025,58.2
520000,0.026,52.4
540000,0.027,61.1
560000,0.028,56.8
580000,0.029,58.2
600000,0.030,62.5
620000,0.031,52.4
640000,0.032,56.8
660000,0.033,55.3
680000,0.034,58.2
700000,0.035,52.4
720000,0.036,48.1
740000,0.037,56.8
760000,0.038,55.3
780000,0.039,59.4
800000,0.040,59.6
820000,0.041,58.2
840000,0.042,53.9
860000,0.043,52.4
880000,0.044,59.6
900000,0.045,58.2
920000,0.046,48.1
940000,0.047,51.0
960000,0.048,65.6
980000,0.049,52.4
1000000,0.050,58.2
1020000,0.051,58.2
1040000,0.052,55.3
1060000,0.053,61.1
1080000,0.054,58.2
1100000,0.055,53.9
1120000,0.056,58.2
1140000,0.057,62.5
1160000,0.058,56.8
1180000,0.059,58.2
1200000,0.060,52.4
1220000,0.061,55.3
1240000,0.062,56.8
1260000,0.063,52.4
1280000,0.064,55.3
1300000,0.065,55.3
1320000,0.066,54.8
1340000,0.067,53.9
1360000,0.068,53.9
1380000,0.069,59.6
1400000,0.070,51.0
1420000,0.071,46.7
1440000,0.072,58.2
1460000,0.073,49.6
1480000,0.074,56.8
1500000,0.075,59.4
1520000,0.076,64.0
1540000,0.077,51.0
1560000,0.078,48.1
1580000,0.079,48.1
1600000,0.080,49.6
1620000,0.081,55.3
1640000,0.082,53.9
1660000,0.083,53.9
1680000,0.084,56.3
1700000,0.085,58.2
1720000,0.086,53.9
1740000,0.087,51.0
1760000,0.088,55.3
1780000,0.089,61.1
1800000,0.090,52.4
1820000,0.091,52.4
1840000,0.092,52.4
1860000,0.093,51.7
1880000,0.094,56.8
1900000,0.095,56.8
1920000,0.096,49.6
1940000,0.097,58.2
1960000,0.098,58.2
1980000,0.099,55.3
2000000,0.100,55.3
2020000,0.101,51.0
2040000,0.102,56.3
2060000,0.103,59.6
2080000,0.104,48.1
2100000,0.105,19.4
2120000,0.106,46.7
2140000,0.107,39.5
2160000,0.108,43.8
2180000,0.109,43.8
2200000,0.110,43.8
2220000,0.111,50.1
2240000,0.112,49.6
2260000,0.113,55.3
2280000,0.114,43.8
2300000,0.115,43.8
2320000,0.116,43.8
2340000,0.117,51.0
2360000,0.118,48.1
2380000,0.119,48.1
2400000,0.120,47.0
2420000,0.121,53.9
2440000,0.122,52.4
2460000,0.123,49.6
2480000,0.124,46.7
2500000,0.125,45.2
2520000,0.126,53.9
