FPGA idle power [mW]:,3563.8

Program energy [mJ]:,14.08

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,48.7
20000,0.001,71.7
40000,0.002,61.7
60000,0.003,78.7
80000,0.004,67.4
100000,0.005,64.5
120000,0.006,67.4
140000,0.007,34.3
160000,0.008,93.3
180000,0.009,110.6
200000,0.010,114.9
220000,0.011,94.7
240000,0.012,137.6
260000,0.013,130.7
280000,0.014,73.2
300000,0.015,84.7
320000,0.016,127.8
340000,0.017,137.9
360000,0.018,142.2
380000,0.019,133.6
400000,0.020,140.8
420000,0.021,137.6
440000,0.022,129.3
460000,0.023,143.7
480000,0.024,142.2
500000,0.025,136.5
520000,0.026,137.9
540000,0.027,136.5
560000,0.028,137.9
580000,0.029,136.5
600000,0.030,139.1
620000,0.031,140.8
640000,0.032,136.5
660000,0.033,137.9
680000,0.034,136.5
700000,0.035,146.5
720000,0.036,135.0
740000,0.037,127.8
760000,0.038,142.2
780000,0.039,140.7
800000,0.040,139.3
820000,0.041,137.9
840000,0.042,136.5
860000,0.043,140.8
880000,0.044,143.7
900000,0.045,135.0
920000,0.046,139.3
940000,0.047,146.5
960000,0.048,140.7
980000,0.049,132.1
1000000,0.050,136.5
1020000,0.051,135.0
1040000,0.052,140.8
1060000,0.053,130.7
1080000,0.054,139.3
1100000,0.055,133.6
1120000,0.056,146.5
1140000,0.057,137.6
1160000,0.058,136.5
1180000,0.059,135.0
1200000,0.060,137.9
1220000,0.061,135.0
1240000,0.062,133.6
1260000,0.063,142.2
1280000,0.064,142.2
1300000,0.065,140.8
1320000,0.066,142.2
1340000,0.067,132.1
1360000,0.068,142.2
1380000,0.069,133.6
1400000,0.070,139.3
1420000,0.071,145.1
1440000,0.072,137.9
1460000,0.073,117.8
1480000,0.074,127.8
1500000,0.075,125.2
1520000,0.076,127.8
1540000,0.077,103.4
1560000,0.078,127.8
1580000,0.079,130.7
1600000,0.080,127.8
1620000,0.081,123.5
1640000,0.082,126.4
1660000,0.083,133.6
1680000,0.084,125.2
1700000,0.085,136.5
1720000,0.086,143.7
1740000,0.087,139.3
1760000,0.088,148.0
1780000,0.089,143.7
1800000,0.090,133.6
1820000,0.091,148.0
1840000,0.092,142.2
1860000,0.093,136.0
1880000,0.094,100.5
1900000,0.095,53.0
1920000,0.096,104.8
1940000,0.097,96.2
1960000,0.098,89.0
1980000,0.099,99.1
2000000,0.100,99.1
2020000,0.101,93.3
2040000,0.102,97.3
2060000,0.103,101.9
2080000,0.104,100.5
2100000,0.105,104.8
2120000,0.106,93.3
2140000,0.107,91.9
2160000,0.108,97.6
2180000,0.109,94.7
2200000,0.110,106.3
2220000,0.111,95.7
2240000,0.112,101.9
2260000,0.113,89.0
2280000,0.114,96.2
2300000,0.115,97.6
