FPGA idle power [mW]:,3586.8

Program energy [mJ]:,9.83

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,-3.1
20000,0.001,80.4
40000,0.002,90.4
60000,0.003,89.8
80000,0.004,63.1
100000,0.005,41.5
120000,0.006,91.9
140000,0.007,110.6
160000,0.008,123.5
180000,0.009,126.4
200000,0.010,127.9
220000,0.011,120.7
240000,0.012,133.2
260000,0.013,136.5
280000,0.014,126.4
300000,0.015,126.4
320000,0.016,133.6
340000,0.017,132.2
360000,0.018,133.6
380000,0.019,129.3
400000,0.020,132.2
420000,0.021,130.1
440000,0.022,127.9
460000,0.023,126.4
480000,0.024,127.9
500000,0.025,135.0
520000,0.026,130.7
540000,0.027,126.4
560000,0.028,130.7
580000,0.029,133.6
600000,0.030,122.3
620000,0.031,130.7
640000,0.032,127.9
660000,0.033,127.9
680000,0.034,136.5
700000,0.035,126.4
720000,0.036,136.5
740000,0.037,146.6
760000,0.038,140.8
780000,0.039,131.6
800000,0.040,132.2
820000,0.041,145.1
840000,0.042,143.7
860000,0.043,130.7
880000,0.044,116.3
900000,0.045,100.5
920000,0.046,106.3
940000,0.047,100.5
960000,0.048,97.5
980000,0.049,96.2
1000000,0.050,102.0
1020000,0.051,102.0
1040000,0.052,110.6
1060000,0.053,117.8
1080000,0.054,110.6
1100000,0.055,112.0
1120000,0.056,114.9
1140000,0.057,114.6
1160000,0.058,114.9
1180000,0.059,99.1
1200000,0.060,114.9
1220000,0.061,114.9
1240000,0.062,110.6
1260000,0.063,116.3
1280000,0.064,116.3
1300000,0.065,104.8
1320000,0.066,113.0
1340000,0.067,114.9
1360000,0.068,109.1
1380000,0.069,113.5
1400000,0.070,117.8
1420000,0.071,117.8
1440000,0.072,120.7
1460000,0.073,116.3
1480000,0.074,114.9
1500000,0.075,119.2
1520000,0.076,107.7
1540000,0.077,117.8
1560000,0.078,117.8
1580000,0.079,109.1
1600000,0.080,114.9
1620000,0.081,119.2
1640000,0.082,112.0
1660000,0.083,96.2
1680000,0.084,89.8
