FPGA idle power [mW]:,3555.9

Program energy [mJ]:,7.61

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,23.5
20000,0.001,43.7
40000,0.002,30.8
60000,0.003,36.5
80000,0.004,35.0
100000,0.005,45.1
120000,0.006,33.6
140000,0.007,12.0
160000,0.008,37.9
180000,0.009,42.2
200000,0.010,39.3
220000,0.011,41.7
240000,0.012,59.5
260000,0.013,76.7
280000,0.014,59.5
300000,0.015,16.3
320000,0.016,50.9
340000,0.017,58.0
360000,0.018,56.6
380000,0.019,66.7
400000,0.020,71.1
420000,0.021,71.0
440000,0.022,78.2
460000,0.023,82.5
480000,0.024,79.6
500000,0.025,85.4
520000,0.026,71.0
540000,0.027,92.6
560000,0.028,92.6
580000,0.029,88.1
600000,0.030,79.6
620000,0.031,63.8
640000,0.032,71.0
660000,0.033,59.5
680000,0.034,53.7
700000,0.035,66.7
720000,0.036,68.1
740000,0.037,63.8
760000,0.038,54.1
780000,0.039,65.2
800000,0.040,65.2
820000,0.041,69.6
840000,0.042,60.9
860000,0.043,71.0
880000,0.044,94.0
900000,0.045,81.1
920000,0.046,76.7
940000,0.047,72.7
960000,0.048,81.1
980000,0.049,83.9
1000000,0.050,73.9
1020000,0.051,79.6
1040000,0.052,79.6
1060000,0.053,82.5
1080000,0.054,69.6
1100000,0.055,60.9
1120000,0.056,60.3
1140000,0.057,69.6
1160000,0.058,59.5
1180000,0.059,60.9
1200000,0.060,66.7
1220000,0.061,63.8
1240000,0.062,58.0
1260000,0.063,55.2
1280000,0.064,63.8
1300000,0.065,61.8
1320000,0.066,59.5
1340000,0.067,79.6
1360000,0.068,83.9
1380000,0.069,75.3
1400000,0.070,76.7
1420000,0.071,78.2
1440000,0.072,83.9
1460000,0.073,76.7
1480000,0.074,77.3
1500000,0.075,82.5
1520000,0.076,82.5
1540000,0.077,69.6
1560000,0.078,60.9
1580000,0.079,69.6
1600000,0.080,66.7
1620000,0.081,63.8
1640000,0.082,55.2
1660000,0.083,52.5
1680000,0.084,72.4
1700000,0.085,59.5
1720000,0.086,58.0
1740000,0.087,53.7
1760000,0.088,63.8
1780000,0.089,75.3
1800000,0.090,62.4
1820000,0.091,75.3
1840000,0.092,83.5
1860000,0.093,92.6
1880000,0.094,85.4
1900000,0.095,78.2
1920000,0.096,72.4
1940000,0.097,78.2
1960000,0.098,46.5
1980000,0.099,29.3
2000000,0.100,50.9
2020000,0.101,61.8
2040000,0.102,56.6
2060000,0.103,58.0
2080000,0.104,49.4
2100000,0.105,58.0
2120000,0.106,48.0
2140000,0.107,53.7
2160000,0.108,62.4
2180000,0.109,56.6
2200000,0.110,41.7
2220000,0.111,50.9
2240000,0.112,53.7
2260000,0.113,56.6
2280000,0.114,52.3
2300000,0.115,55.2
2320000,0.116,62.4
2340000,0.117,45.1
2360000,0.118,56.6
2380000,0.119,60.3
