FPGA idle power [mW]:,3557.3

Program energy [mJ]:,8.35

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,17.8
20000,0.001,42.3
40000,0.002,44.9
60000,0.003,43.7
80000,0.004,43.7
100000,0.005,45.1
120000,0.006,33.6
140000,0.007,23.6
160000,0.008,39.4
180000,0.009,52.3
200000,0.010,45.1
220000,0.011,38.7
240000,0.012,79.7
260000,0.013,81.1
280000,0.014,63.8
300000,0.015,26.4
320000,0.016,62.4
340000,0.017,88.3
360000,0.018,89.7
380000,0.019,76.8
400000,0.020,86.7
420000,0.021,96.9
440000,0.022,76.8
460000,0.023,84.0
480000,0.024,76.8
500000,0.025,82.5
520000,0.026,82.5
540000,0.027,78.2
560000,0.028,96.9
580000,0.029,96.0
600000,0.030,79.7
620000,0.031,75.3
640000,0.032,58.1
660000,0.033,56.6
680000,0.034,65.3
700000,0.035,68.2
720000,0.036,72.5
740000,0.037,73.9
760000,0.038,65.1
780000,0.039,65.3
800000,0.040,61.0
820000,0.041,75.3
840000,0.042,71.0
860000,0.043,76.8
880000,0.044,91.2
900000,0.045,94.0
920000,0.046,86.9
940000,0.047,83.6
960000,0.048,98.4
980000,0.049,89.7
1000000,0.050,84.0
1020000,0.051,85.4
1040000,0.052,89.7
1060000,0.053,86.9
1080000,0.054,81.1
1100000,0.055,88.3
1120000,0.056,80.5
1140000,0.057,85.4
1160000,0.058,85.4
1180000,0.059,81.1
1200000,0.060,92.6
1220000,0.061,94.0
1240000,0.062,84.0
1260000,0.063,88.3
1280000,0.064,72.5
1300000,0.065,83.6
1320000,0.066,82.5
1340000,0.067,76.8
1360000,0.068,86.9
1380000,0.069,81.1
1400000,0.070,89.7
1420000,0.071,79.7
1440000,0.072,78.2
1460000,0.073,89.7
1480000,0.074,80.5
1500000,0.075,62.4
1520000,0.076,66.7
1540000,0.077,72.5
1560000,0.078,68.2
1580000,0.079,63.8
1600000,0.080,66.7
1620000,0.081,68.2
1640000,0.082,56.6
1660000,0.083,54.2
1680000,0.084,68.2
1700000,0.085,71.0
1720000,0.086,66.7
1740000,0.087,81.1
1760000,0.088,78.2
1780000,0.089,94.0
1800000,0.090,88.3
1820000,0.091,69.6
1840000,0.092,89.8
1860000,0.093,84.0
1880000,0.094,82.5
1900000,0.095,85.4
1920000,0.096,55.2
1940000,0.097,35.1
1960000,0.098,55.2
1980000,0.099,55.2
2000000,0.100,59.5
2020000,0.101,63.5
2040000,0.102,69.6
2060000,0.103,58.1
2080000,0.104,55.2
2100000,0.105,65.3
2120000,0.106,71.0
2140000,0.107,49.5
2160000,0.108,56.6
2180000,0.109,65.3
2200000,0.110,62.0
2220000,0.111,56.6
2240000,0.112,58.1
2260000,0.113,63.8
2280000,0.114,59.5
2300000,0.115,58.1
2320000,0.116,69.6
2340000,0.117,58.1
