FPGA idle power [mW]:,3614.5

Program energy [mJ]:,9.93

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,3.8
20000,0.001,68.5
40000,0.002,77.1
60000,0.003,88.6
80000,0.004,72.8
100000,0.005,62.7
120000,0.006,138.0
140000,0.007,151.9
160000,0.008,150.5
180000,0.009,169.2
200000,0.010,169.2
220000,0.011,162.0
240000,0.012,154.8
260000,0.013,179.3
280000,0.014,183.6
300000,0.015,142.6
320000,0.016,147.6
340000,0.017,143.3
360000,0.018,144.7
380000,0.019,146.2
400000,0.020,147.6
420000,0.021,149.1
440000,0.022,144.7
460000,0.023,144.7
480000,0.024,153.5
500000,0.025,150.5
520000,0.026,141.9
540000,0.027,147.6
560000,0.028,146.2
580000,0.029,146.2
600000,0.030,141.9
620000,0.031,140.4
640000,0.032,154.8
660000,0.033,153.5
680000,0.034,149.1
700000,0.035,137.6
720000,0.036,143.3
740000,0.037,134.7
760000,0.038,137.6
780000,0.039,127.5
800000,0.040,134.7
820000,0.041,144.7
840000,0.042,139.5
860000,0.043,123.2
880000,0.044,111.7
900000,0.045,130.4
920000,0.046,127.5
940000,0.047,124.6
960000,0.048,128.9
980000,0.049,131.8
1000000,0.050,128.9
1020000,0.051,130.3
1040000,0.052,124.6
1060000,0.053,127.5
1080000,0.054,127.5
1100000,0.055,127.5
1120000,0.056,128.9
1140000,0.057,127.5
1160000,0.058,127.5
1180000,0.059,131.8
1200000,0.060,131.8
1220000,0.061,121.7
1240000,0.062,127.5
1260000,0.063,130.4
1280000,0.064,120.3
1300000,0.065,128.9
1320000,0.066,134.7
1340000,0.067,127.5
1360000,0.068,124.6
1380000,0.069,128.7
1400000,0.070,131.8
1420000,0.071,124.6
1440000,0.072,127.5
1460000,0.073,118.9
1480000,0.074,118.9
