FPGA idle power [mW]:,3574.2

Program energy [mJ]:,7.26

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,11.0
20000,0.001,19.6
40000,0.002,22.5
60000,0.003,12.4
80000,0.004,18.2
100000,0.005,16.7
120000,0.006,61.3
140000,0.007,93.1
160000,0.008,121.7
180000,0.009,120.3
200000,0.010,130.4
220000,0.011,120.3
240000,0.012,118.9
260000,0.013,130.4
280000,0.014,127.5
300000,0.015,117.4
320000,0.016,107.0
340000,0.017,113.1
360000,0.018,114.6
380000,0.019,98.7
400000,0.020,116.0
420000,0.021,121.7
440000,0.022,118.9
460000,0.023,111.7
480000,0.024,111.7
500000,0.025,122.5
520000,0.026,121.7
540000,0.027,128.9
560000,0.028,124.6
580000,0.029,118.9
600000,0.030,124.6
620000,0.031,128.9
640000,0.032,126.1
660000,0.033,121.7
680000,0.034,110.1
700000,0.035,105.9
720000,0.036,95.9
740000,0.037,113.1
760000,0.038,124.6
780000,0.039,118.9
800000,0.040,108.8
820000,0.041,124.6
840000,0.042,133.3
860000,0.043,127.2
880000,0.044,91.5
900000,0.045,97.3
920000,0.046,107.4
940000,0.047,88.7
960000,0.048,94.4
980000,0.049,97.3
1000000,0.050,97.3
1020000,0.051,101.6
1040000,0.052,85.3
1060000,0.053,91.5
1080000,0.054,87.2
1100000,0.055,68.5
1120000,0.056,74.3
1140000,0.057,82.9
1160000,0.058,78.6
1180000,0.059,85.8
1200000,0.060,75.7
1220000,0.061,74.5
1240000,0.062,84.3
1260000,0.063,101.6
1280000,0.064,87.2
1300000,0.065,100.2
1320000,0.066,110.2
1340000,0.067,103.0
1360000,0.068,95.9
1380000,0.069,97.3
1400000,0.070,99.3
1420000,0.071,111.7
1440000,0.072,80.0
1460000,0.073,68.5
