FPGA idle power [mW]:,3552.6

Program energy [mJ]:,9.92

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,45.5
20000,0.001,80.0
40000,0.002,74.3
60000,0.003,65.7
80000,0.004,68.5
100000,0.005,80.0
120000,0.006,84.4
140000,0.007,23.9
160000,0.008,60.5
180000,0.009,61.3
200000,0.010,71.4
220000,0.011,67.1
240000,0.012,100.2
260000,0.013,91.6
280000,0.014,93.0
300000,0.015,31.1
320000,0.016,65.7
340000,0.017,65.1
360000,0.018,72.9
380000,0.019,81.5
400000,0.020,84.4
420000,0.021,74.3
440000,0.022,93.0
460000,0.023,100.2
480000,0.024,103.1
500000,0.025,100.2
520000,0.026,100.7
540000,0.027,84.4
560000,0.028,113.1
580000,0.029,81.5
600000,0.030,94.4
620000,0.031,107.4
640000,0.032,95.9
660000,0.033,77.2
680000,0.034,80.0
700000,0.035,83.7
720000,0.036,84.4
740000,0.037,72.9
760000,0.038,88.7
780000,0.039,88.7
800000,0.040,88.7
820000,0.041,80.0
840000,0.042,75.7
860000,0.043,85.8
880000,0.044,89.9
900000,0.045,84.4
920000,0.046,103.1
940000,0.047,110.3
960000,0.048,105.9
980000,0.049,90.1
1000000,0.050,88.7
1020000,0.051,93.0
1040000,0.052,111.7
1060000,0.053,88.3
1080000,0.054,93.0
1100000,0.055,84.4
1120000,0.056,84.4
1140000,0.057,82.9
1160000,0.058,90.1
1180000,0.059,74.3
1200000,0.060,87.2
1220000,0.061,81.5
1240000,0.062,71.3
1260000,0.063,94.4
1280000,0.064,84.4
1300000,0.065,78.6
1320000,0.066,98.7
1340000,0.067,94.4
1360000,0.068,105.9
1380000,0.069,104.5
1400000,0.070,98.7
1420000,0.071,106.9
1440000,0.072,97.3
1460000,0.073,95.9
1480000,0.074,95.9
1500000,0.075,87.2
1520000,0.076,90.1
1540000,0.077,82.9
1560000,0.078,75.7
1580000,0.079,88.7
1600000,0.080,79.1
1620000,0.081,71.4
1640000,0.082,81.5
1660000,0.083,87.2
1680000,0.084,82.9
1700000,0.085,70.0
1720000,0.086,68.5
1740000,0.087,82.9
1760000,0.088,110.3
1780000,0.089,99.2
1800000,0.090,103.1
1820000,0.091,95.9
1840000,0.092,103.1
1860000,0.093,97.3
1880000,0.094,84.4
1900000,0.095,72.9
1920000,0.096,39.8
1940000,0.097,75.7
1960000,0.098,69.8
1980000,0.099,67.1
2000000,0.100,71.4
2020000,0.101,77.2
2040000,0.102,67.1
2060000,0.103,72.9
2080000,0.104,72.9
2100000,0.105,67.1
2120000,0.106,74.3
2140000,0.107,82.1
2160000,0.108,67.1
2180000,0.109,67.1
2200000,0.110,67.1
2220000,0.111,72.9
2240000,0.112,75.7
2260000,0.113,71.4
2280000,0.114,70.0
2300000,0.115,74.3
2320000,0.116,80.6
2340000,0.117,74.3
2360000,0.118,70.0
2380000,0.119,77.2
