FPGA idle power [mW]:,3568.8

Program energy [mJ]:,13.05

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,61.0
20000,0.001,104.1
40000,0.002,89.7
60000,0.003,78.3
80000,0.004,94.1
100000,0.005,91.2
120000,0.006,88.3
140000,0.007,27.9
160000,0.008,72.5
180000,0.009,76.8
200000,0.010,95.5
220000,0.011,85.4
240000,0.012,121.7
260000,0.013,120.0
280000,0.014,111.3
300000,0.015,32.2
320000,0.016,108.4
340000,0.017,105.6
360000,0.018,120.0
380000,0.019,117.1
400000,0.020,117.1
420000,0.021,132.6
440000,0.022,131.5
460000,0.023,128.6
480000,0.024,130.0
500000,0.025,131.5
520000,0.026,131.5
540000,0.027,124.3
560000,0.028,132.9
580000,0.029,128.6
600000,0.030,124.8
620000,0.031,125.7
640000,0.032,120.0
660000,0.033,121.4
680000,0.034,125.7
700000,0.035,127.1
720000,0.036,121.4
740000,0.037,99.8
760000,0.038,121.4
780000,0.039,123.3
800000,0.040,117.1
820000,0.041,115.6
840000,0.042,128.6
860000,0.043,135.8
880000,0.044,132.9
900000,0.045,132.9
920000,0.046,132.9
940000,0.047,132.9
960000,0.048,131.0
980000,0.049,141.5
1000000,0.050,138.7
1020000,0.051,130.0
1040000,0.052,121.4
1060000,0.053,121.4
1080000,0.054,109.9
1100000,0.055,114.2
1120000,0.056,125.7
1140000,0.057,126.4
1160000,0.058,114.2
1180000,0.059,125.7
1200000,0.060,130.0
1220000,0.061,124.3
1240000,0.062,125.7
1260000,0.063,131.5
1280000,0.064,122.8
1300000,0.065,140.1
1320000,0.066,124.8
1340000,0.067,131.5
1360000,0.068,130.0
1380000,0.069,131.5
1400000,0.070,131.5
1420000,0.071,131.5
1440000,0.072,135.8
1460000,0.073,120.0
1480000,0.074,108.4
1500000,0.075,117.1
1520000,0.076,124.3
1540000,0.077,117.1
1560000,0.078,120.0
1580000,0.079,127.1
1600000,0.080,118.5
1620000,0.081,109.9
1640000,0.082,115.6
1660000,0.083,130.0
1680000,0.084,137.2
1700000,0.085,132.9
1720000,0.086,128.6
1740000,0.087,130.0
1760000,0.088,125.7
1780000,0.089,137.2
1800000,0.090,122.8
1820000,0.091,35.1
1840000,0.092,99.8
1860000,0.093,115.5
1880000,0.094,101.3
1900000,0.095,104.1
1920000,0.096,105.6
1940000,0.097,108.4
1960000,0.098,112.8
1980000,0.099,88.3
2000000,0.100,111.3
2020000,0.101,107.0
2040000,0.102,98.5
2060000,0.103,96.9
2080000,0.104,102.7
2100000,0.105,92.6
2120000,0.106,108.4
2140000,0.107,99.8
2160000,0.108,107.0
2180000,0.109,96.9
2200000,0.110,99.8
2220000,0.111,98.5
2240000,0.112,105.6
2260000,0.113,102.7
