FPGA idle power [mW]:,3562.8

Program energy [mJ]:,11.70

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,-12.2
20000,0.001,58.3
40000,0.002,51.8
60000,0.003,45.4
80000,0.004,71.3
100000,0.005,74.2
120000,0.006,44.0
140000,0.007,31.0
160000,0.008,92.9
180000,0.009,90.0
200000,0.010,79.9
220000,0.011,71.9
240000,0.012,115.9
260000,0.013,113.0
280000,0.014,41.1
300000,0.015,79.9
320000,0.016,104.4
340000,0.017,115.9
360000,0.018,110.1
380000,0.019,120.2
400000,0.020,123.1
420000,0.021,136.0
440000,0.022,124.5
460000,0.023,130.3
480000,0.024,128.8
500000,0.025,137.5
520000,0.026,130.3
540000,0.027,131.7
560000,0.028,130.3
580000,0.029,133.9
600000,0.030,133.1
620000,0.031,134.6
640000,0.032,136.0
660000,0.033,133.1
680000,0.034,133.1
700000,0.035,123.1
720000,0.036,133.1
740000,0.037,124.5
760000,0.038,127.7
780000,0.039,124.5
800000,0.040,127.4
820000,0.041,130.3
840000,0.042,128.8
860000,0.043,113.0
880000,0.044,130.3
900000,0.045,131.7
920000,0.046,123.1
940000,0.047,121.5
960000,0.048,126.0
980000,0.049,120.2
1000000,0.050,111.6
1020000,0.051,104.4
1040000,0.052,110.1
1060000,0.053,118.8
1080000,0.054,120.2
1100000,0.055,118.8
1120000,0.056,109.1
1140000,0.057,113.0
1160000,0.058,115.9
1180000,0.059,123.1
1200000,0.060,126.0
1220000,0.061,131.7
1240000,0.062,137.5
1260000,0.063,137.5
1280000,0.064,126.0
1300000,0.065,129.3
1320000,0.066,138.9
1340000,0.067,131.7
1360000,0.068,121.6
1380000,0.069,128.8
1400000,0.070,134.6
1420000,0.071,136.0
1440000,0.072,133.1
1460000,0.073,134.6
1480000,0.074,124.6
1500000,0.075,136.0
1520000,0.076,124.5
1540000,0.077,130.3
1560000,0.078,130.3
1580000,0.079,136.0
1600000,0.080,127.4
1620000,0.081,126.0
1640000,0.082,134.6
1660000,0.083,129.3
1680000,0.084,130.3
1700000,0.085,39.6
1720000,0.086,69.8
1740000,0.087,94.3
1760000,0.088,88.5
1780000,0.089,85.7
1800000,0.090,81.4
1820000,0.091,90.0
1840000,0.092,78.1
1860000,0.093,94.3
1880000,0.094,98.6
1900000,0.095,88.5
1920000,0.096,84.2
1940000,0.097,87.1
1960000,0.098,91.4
1980000,0.099,97.2
2000000,0.100,82.8
2020000,0.101,90.5
2040000,0.102,95.7
2060000,0.103,102.9
2080000,0.104,88.5
2100000,0.105,91.4
2120000,0.106,97.2
