FPGA idle power [mW]:,3551.6

Program energy [mJ]:,13.08

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,12.0
20000,0.001,66.7
40000,0.002,69.5
60000,0.003,70.8
80000,0.004,62.3
100000,0.005,66.7
120000,0.006,71.0
140000,0.007,36.4
160000,0.008,45.1
180000,0.009,95.4
200000,0.010,98.3
220000,0.011,101.2
240000,0.012,101.7
260000,0.013,131.4
280000,0.014,117.0
300000,0.015,35.0
320000,0.016,102.6
340000,0.017,111.3
360000,0.018,131.4
380000,0.019,131.4
400000,0.020,127.1
420000,0.021,123.4
440000,0.022,135.7
460000,0.023,128.5
480000,0.024,131.4
500000,0.025,125.6
520000,0.026,135.7
540000,0.027,134.3
560000,0.028,130.0
580000,0.029,124.2
600000,0.030,115.7
620000,0.031,131.4
640000,0.032,128.5
660000,0.033,119.9
680000,0.034,125.6
700000,0.035,134.3
720000,0.036,122.8
740000,0.037,130.0
760000,0.038,127.1
780000,0.039,121.9
800000,0.040,130.0
820000,0.041,121.3
840000,0.042,124.2
860000,0.043,130.0
880000,0.044,130.0
900000,0.045,122.8
920000,0.046,135.7
940000,0.047,132.8
960000,0.048,129.6
980000,0.049,130.0
1000000,0.050,138.6
1020000,0.051,138.6
1040000,0.052,125.6
1060000,0.053,135.7
1080000,0.054,137.2
1100000,0.055,134.3
1120000,0.056,134.3
1140000,0.057,129.6
1160000,0.058,135.7
1180000,0.059,141.5
1200000,0.060,144.3
1220000,0.061,130.0
1240000,0.062,130.0
1260000,0.063,140.0
1280000,0.064,134.3
1300000,0.065,132.8
1320000,0.066,131.2
1340000,0.067,134.3
1360000,0.068,138.6
1380000,0.069,131.4
1400000,0.070,141.5
1420000,0.071,141.5
1440000,0.072,124.2
1460000,0.073,122.8
1480000,0.074,121.3
1500000,0.075,109.5
1520000,0.076,118.5
1540000,0.077,118.5
1560000,0.078,115.6
1580000,0.079,130.0
1600000,0.080,119.9
1620000,0.081,101.2
1640000,0.082,111.3
1660000,0.083,122.8
1680000,0.084,120.3
1700000,0.085,125.6
1720000,0.086,135.7
1740000,0.087,138.6
1760000,0.088,138.6
1780000,0.089,122.8
1800000,0.090,140.0
1820000,0.091,141.5
1840000,0.092,131.4
1860000,0.093,134.3
1880000,0.094,140.0
1900000,0.095,59.5
1920000,0.096,66.7
1940000,0.097,73.9
1960000,0.098,82.5
1980000,0.099,85.4
2000000,0.100,82.5
2020000,0.101,79.6
2040000,0.102,72.3
2060000,0.103,83.9
2080000,0.104,81.0
2100000,0.105,72.4
2120000,0.106,83.9
2140000,0.107,75.3
2160000,0.108,76.7
2180000,0.109,76.7
2200000,0.110,89.7
2220000,0.111,86.2
2240000,0.112,75.3
2260000,0.113,81.0
2280000,0.114,78.2
2300000,0.115,79.6
2320000,0.116,71.0
