FPGA idle power [mW]:,3557.2

Program energy [mJ]:,8.74

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,23.7
20000,0.001,51.0
40000,0.002,38.0
60000,0.003,34.2
80000,0.004,53.9
100000,0.005,52.4
120000,0.006,32.3
140000,0.007,39.5
160000,0.008,53.9
180000,0.009,46.7
200000,0.010,43.8
220000,0.011,63.9
240000,0.012,79.1
260000,0.013,89.8
280000,0.014,38.0
300000,0.015,48.1
320000,0.016,59.6
340000,0.017,71.1
360000,0.018,78.3
380000,0.019,69.7
400000,0.020,72.6
420000,0.021,76.0
440000,0.022,76.9
460000,0.023,84.1
480000,0.024,85.5
500000,0.025,84.1
520000,0.026,78.3
540000,0.027,82.6
560000,0.028,89.8
580000,0.029,81.2
600000,0.030,82.2
620000,0.031,84.1
640000,0.032,74.0
660000,0.033,65.4
680000,0.034,81.2
700000,0.035,65.4
720000,0.036,63.9
740000,0.037,62.5
760000,0.038,75.4
780000,0.039,72.9
800000,0.040,66.8
820000,0.041,75.4
840000,0.042,68.3
860000,0.043,81.2
880000,0.044,91.3
900000,0.045,79.8
920000,0.046,82.6
940000,0.047,97.0
960000,0.048,91.5
980000,0.049,66.8
1000000,0.050,75.4
1020000,0.051,89.8
1040000,0.052,84.1
1060000,0.053,88.4
1080000,0.054,76.9
1100000,0.055,66.8
1120000,0.056,76.9
1140000,0.057,68.3
1160000,0.058,69.7
1180000,0.059,72.6
1200000,0.060,71.1
1220000,0.061,63.9
1240000,0.062,72.6
1260000,0.063,76.9
1280000,0.064,68.3
1300000,0.065,75.4
1320000,0.066,72.9
1340000,0.067,81.2
1360000,0.068,84.1
1380000,0.069,84.1
1400000,0.070,85.5
1420000,0.071,85.5
1440000,0.072,88.4
1460000,0.073,79.8
1480000,0.074,72.6
1500000,0.075,89.9
1520000,0.076,88.4
1540000,0.077,76.9
1560000,0.078,58.2
1580000,0.079,72.6
1600000,0.080,74.0
1620000,0.081,74.0
1640000,0.082,61.1
1660000,0.083,75.4
1680000,0.084,68.3
1700000,0.085,65.4
1720000,0.086,66.8
1740000,0.087,72.6
1760000,0.088,79.8
1780000,0.089,84.1
1800000,0.090,78.3
1820000,0.091,88.4
1840000,0.092,92.7
1860000,0.093,86.8
1880000,0.094,91.3
1900000,0.095,91.3
1920000,0.096,92.7
1940000,0.097,49.6
1960000,0.098,48.1
1980000,0.099,72.6
2000000,0.100,82.6
2020000,0.101,72.6
2040000,0.102,77.5
2060000,0.103,75.4
2080000,0.104,63.9
2100000,0.105,75.4
2120000,0.106,74.0
2140000,0.107,78.3
2160000,0.108,72.6
2180000,0.109,74.0
2200000,0.110,71.1
2220000,0.111,77.5
2240000,0.112,78.3
2260000,0.113,81.2
2280000,0.114,69.7
2300000,0.115,75.4
2320000,0.116,81.2
2340000,0.117,76.9
2360000,0.118,69.7
2380000,0.119,81.2
