FPGA idle power [mW]:,3561.8

Program energy [mJ]:,10.37

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,34.9
20000,0.001,82.4
40000,0.002,68.0
60000,0.003,93.1
80000,0.004,91.0
100000,0.005,83.8
120000,0.006,70.8
140000,0.007,26.2
160000,0.008,55.0
180000,0.009,69.4
200000,0.010,62.2
220000,0.011,59.3
240000,0.012,93.1
260000,0.013,115.4
280000,0.014,96.7
300000,0.015,27.7
320000,0.016,88.1
340000,0.017,101.1
360000,0.018,98.2
380000,0.019,98.2
400000,0.020,105.4
420000,0.021,105.5
440000,0.022,95.3
460000,0.023,101.1
480000,0.024,93.9
500000,0.025,102.5
520000,0.026,101.1
540000,0.027,95.3
560000,0.028,105.4
580000,0.029,114.0
600000,0.030,85.3
620000,0.031,85.2
640000,0.032,73.7
660000,0.033,85.2
680000,0.034,79.5
700000,0.035,83.8
720000,0.036,86.7
740000,0.037,88.1
760000,0.038,72.3
780000,0.039,83.8
800000,0.040,86.7
820000,0.041,76.6
840000,0.042,96.7
860000,0.043,88.1
880000,0.044,98.2
900000,0.045,111.1
920000,0.046,95.3
940000,0.047,89.5
960000,0.048,105.5
980000,0.049,108.3
1000000,0.050,102.5
1020000,0.051,101.1
1040000,0.052,105.4
1060000,0.053,103.9
1080000,0.054,108.3
1100000,0.055,102.5
1120000,0.056,103.9
1140000,0.057,100.8
1160000,0.058,101.1
1180000,0.059,95.3
1200000,0.060,92.4
1220000,0.061,111.1
1240000,0.062,101.1
1260000,0.063,99.6
1280000,0.064,101.1
1300000,0.065,108.3
1320000,0.066,100.8
1340000,0.067,96.7
1360000,0.068,98.2
1380000,0.069,99.6
1400000,0.070,93.9
1420000,0.071,99.6
1440000,0.072,92.4
1460000,0.073,106.8
1480000,0.074,88.1
1500000,0.075,76.0
1520000,0.076,80.9
1540000,0.077,75.2
1560000,0.078,89.5
1580000,0.079,85.2
1600000,0.080,83.8
1620000,0.081,88.1
1640000,0.082,75.2
1660000,0.083,69.4
1680000,0.084,79.1
1700000,0.085,89.5
1720000,0.086,111.1
1740000,0.087,103.9
1760000,0.088,114.0
1780000,0.089,106.8
1800000,0.090,93.9
1820000,0.091,105.4
1840000,0.092,99.6
1860000,0.093,100.8
1880000,0.094,103.9
1900000,0.095,55.0
1920000,0.096,50.7
1940000,0.097,88.1
1960000,0.098,83.8
1980000,0.099,85.2
2000000,0.100,75.2
2020000,0.101,83.8
2040000,0.102,91.5
2060000,0.103,85.2
2080000,0.104,68.0
2100000,0.105,75.2
2120000,0.106,82.4
2140000,0.107,73.7
2160000,0.108,75.2
2180000,0.109,79.5
2200000,0.110,88.1
2220000,0.111,80.7
2240000,0.112,73.7
2260000,0.113,86.7
2280000,0.114,76.6
2300000,0.115,83.8
2320000,0.116,73.7
