FPGA idle power [mW]:,3572.2

Program energy [mJ]:,14.89

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,51.8
20000,0.001,100.7
40000,0.002,100.7
60000,0.003,97.9
80000,0.004,97.9
100000,0.005,95.0
120000,0.006,87.3
140000,0.007,36.0
160000,0.008,102.2
180000,0.009,125.2
200000,0.010,116.6
220000,0.011,109.4
240000,0.012,138.1
260000,0.013,143.9
280000,0.014,84.9
300000,0.015,76.5
320000,0.016,136.7
340000,0.017,138.1
360000,0.018,139.6
380000,0.019,145.3
400000,0.020,152.5
420000,0.021,138.1
440000,0.022,135.3
460000,0.023,139.6
480000,0.024,140.0
500000,0.025,142.5
520000,0.026,135.3
540000,0.027,138.1
560000,0.028,143.9
580000,0.029,139.6
600000,0.030,141.0
620000,0.031,139.6
640000,0.032,141.0
660000,0.033,144.7
680000,0.034,141.0
700000,0.035,138.1
720000,0.036,143.9
740000,0.037,146.8
760000,0.038,139.6
780000,0.039,142.5
800000,0.040,143.9
820000,0.041,145.3
840000,0.042,138.5
860000,0.043,145.3
880000,0.044,145.3
900000,0.045,142.5
920000,0.046,141.0
940000,0.047,143.9
960000,0.048,142.5
980000,0.049,143.9
1000000,0.050,136.7
1020000,0.051,136.9
1040000,0.052,152.5
1060000,0.053,141.0
1080000,0.054,139.6
1100000,0.055,138.1
1120000,0.056,145.3
1140000,0.057,141.0
1160000,0.058,132.4
1180000,0.059,143.9
1200000,0.060,146.2
1220000,0.061,141.0
1240000,0.062,143.9
1260000,0.063,138.1
1280000,0.064,136.7
1300000,0.065,135.3
1320000,0.066,136.7
1340000,0.067,141.0
1360000,0.068,141.0
1380000,0.069,140.0
1400000,0.070,141.0
1420000,0.071,139.6
1440000,0.072,145.3
1460000,0.073,130.9
1480000,0.074,126.6
1500000,0.075,130.9
1520000,0.076,128.1
1540000,0.077,130.9
1560000,0.078,127.6
1580000,0.079,133.8
1600000,0.080,135.3
1620000,0.081,126.6
1640000,0.082,119.4
1660000,0.083,132.4
1680000,0.084,129.5
1700000,0.085,142.5
1720000,0.086,139.6
1740000,0.087,144.7
1760000,0.088,145.3
1780000,0.089,142.5
1800000,0.090,139.6
1820000,0.091,143.9
1840000,0.092,143.9
1860000,0.093,142.5
1880000,0.094,119.4
1900000,0.095,56.1
1920000,0.096,110.6
1940000,0.097,116.6
1960000,0.098,106.5
1980000,0.099,107.9
2000000,0.100,118.0
2020000,0.101,110.8
2040000,0.102,118.0
2060000,0.103,115.1
2080000,0.104,113.7
2100000,0.105,110.6
2120000,0.106,99.3
2140000,0.107,119.4
2160000,0.108,112.2
2180000,0.109,116.6
2200000,0.110,113.7
2220000,0.111,112.2
2240000,0.112,113.7
2260000,0.113,118.0
2280000,0.114,113.7
2300000,0.115,116.6
