FPGA idle power [mW]:,3558.6

Program energy [mJ]:,9.27

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,2.1
20000,0.001,36.6
40000,0.002,60.7
60000,0.003,74.0
80000,0.004,35.2
100000,0.005,61.1
120000,0.006,133.0
140000,0.007,151.7
160000,0.008,144.5
180000,0.009,151.7
200000,0.010,153.2
220000,0.011,152.1
240000,0.012,151.7
260000,0.013,157.5
280000,0.014,161.8
300000,0.015,148.9
320000,0.016,95.6
340000,0.017,131.6
360000,0.018,138.8
380000,0.019,123.0
400000,0.020,124.2
420000,0.021,128.7
440000,0.022,134.5
460000,0.023,134.5
480000,0.024,133.0
500000,0.025,128.7
520000,0.026,131.6
540000,0.027,144.5
560000,0.028,141.7
580000,0.029,130.4
600000,0.030,140.2
620000,0.031,148.9
640000,0.032,143.1
660000,0.033,135.9
680000,0.034,143.1
700000,0.035,146.0
720000,0.036,138.8
740000,0.037,110.0
760000,0.038,127.3
780000,0.039,130.2
800000,0.040,124.4
820000,0.041,128.7
840000,0.042,131.6
860000,0.043,121.5
880000,0.044,114.3
900000,0.045,82.7
920000,0.046,94.2
940000,0.047,96.3
960000,0.048,111.5
980000,0.049,111.5
1000000,0.050,107.1
1020000,0.051,117.2
1040000,0.052,112.9
1060000,0.053,101.4
1080000,0.054,117.2
1100000,0.055,118.6
1120000,0.056,118.0
1140000,0.057,101.4
1160000,0.058,78.4
1180000,0.059,95.6
1200000,0.060,99.9
1220000,0.061,85.6
1240000,0.062,84.1
1260000,0.063,97.1
1280000,0.064,95.6
1300000,0.065,82.3
1320000,0.066,92.7
1340000,0.067,95.6
1360000,0.068,107.1
1380000,0.069,110.0
1400000,0.070,110.0
1420000,0.071,112.9
1440000,0.072,117.2
1460000,0.073,110.0
1480000,0.074,108.7
1500000,0.075,115.8
1520000,0.076,115.8
1540000,0.077,99.9
1560000,0.078,104.3
1580000,0.079,87.0
1600000,0.080,91.3
