FPGA idle power [mW]:,3548.7

Program energy [mJ]:,7.08

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,25.0
20000,0.001,45.1
40000,0.002,48.0
60000,0.003,49.4
80000,0.004,46.5
100000,0.005,46.5
120000,0.006,43.7
140000,0.007,19.2
160000,0.008,41.1
180000,0.009,46.5
200000,0.010,48.0
220000,0.011,43.7
240000,0.012,68.1
260000,0.013,73.9
280000,0.014,62.4
300000,0.015,10.6
320000,0.016,50.9
340000,0.017,56.6
360000,0.018,53.7
380000,0.019,53.7
400000,0.020,69.6
420000,0.021,73.9
440000,0.022,62.4
460000,0.023,65.2
480000,0.024,68.1
500000,0.025,66.7
520000,0.026,67.5
540000,0.027,69.6
560000,0.028,79.6
580000,0.029,79.6
600000,0.030,69.6
620000,0.031,63.8
640000,0.032,58.1
660000,0.033,53.7
680000,0.034,56.6
700000,0.035,62.8
720000,0.036,56.6
740000,0.037,65.2
760000,0.038,58.1
780000,0.039,52.3
800000,0.040,53.7
820000,0.041,52.3
840000,0.042,58.1
860000,0.043,72.4
880000,0.044,67.5
900000,0.045,68.1
920000,0.046,73.9
940000,0.047,69.6
960000,0.048,69.6
980000,0.049,58.1
1000000,0.050,72.4
1020000,0.051,73.9
1040000,0.052,78.2
1060000,0.053,61.3
1080000,0.054,58.1
1100000,0.055,59.5
1120000,0.056,56.6
1140000,0.057,59.5
1160000,0.058,50.9
1180000,0.059,63.8
1200000,0.060,62.4
1220000,0.061,53.7
1240000,0.062,50.4
1260000,0.063,53.7
1280000,0.064,65.2
1300000,0.065,56.6
1320000,0.066,65.2
1340000,0.067,73.9
1360000,0.068,81.1
1380000,0.069,73.9
1400000,0.070,66.7
1420000,0.071,73.7
1440000,0.072,78.2
1460000,0.073,65.2
1480000,0.074,73.9
1500000,0.075,73.9
1520000,0.076,56.6
1540000,0.077,58.1
1560000,0.078,53.7
1580000,0.079,60.9
1600000,0.080,52.0
1620000,0.081,58.1
1640000,0.082,56.6
1660000,0.083,58.1
1680000,0.084,58.1
1700000,0.085,56.6
1720000,0.086,56.6
1740000,0.087,62.4
1760000,0.088,71.0
1780000,0.089,67.5
1800000,0.090,81.1
1820000,0.091,71.0
1840000,0.092,72.4
1860000,0.093,73.9
1880000,0.094,63.8
1900000,0.095,72.4
1920000,0.096,72.4
1940000,0.097,42.2
1960000,0.098,34.9
1980000,0.099,63.8
2000000,0.100,56.6
2020000,0.101,42.2
2040000,0.102,55.2
2060000,0.103,58.1
2080000,0.104,45.1
2100000,0.105,52.3
2120000,0.106,53.7
2140000,0.107,59.7
2160000,0.108,56.6
2180000,0.109,49.4
2200000,0.110,56.6
2220000,0.111,53.7
2240000,0.112,55.2
2260000,0.113,53.7
2280000,0.114,50.9
2300000,0.115,59.5
2320000,0.116,61.3
2340000,0.117,50.9
2360000,0.118,55.2
