FPGA idle power [mW]:,3540.3

Program energy [mJ]:,11.85

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,17.5
20000,0.001,65.0
40000,0.002,62.1
60000,0.003,62.1
80000,0.004,59.3
100000,0.005,62.1
120000,0.006,63.6
140000,0.007,30.5
160000,0.008,51.1
180000,0.009,78.0
200000,0.010,80.8
220000,0.011,72.2
240000,0.012,102.4
260000,0.013,113.9
280000,0.014,112.5
300000,0.015,40.6
320000,0.016,83.7
340000,0.017,105.3
360000,0.018,119.7
380000,0.019,112.5
400000,0.020,105.3
420000,0.021,109.6
440000,0.022,121.1
460000,0.023,119.7
480000,0.024,115.4
500000,0.025,112.5
520000,0.026,117.7
540000,0.027,116.8
560000,0.028,103.9
580000,0.029,112.5
600000,0.030,115.4
620000,0.031,121.1
640000,0.032,118.2
660000,0.033,111.0
680000,0.034,105.3
700000,0.035,108.4
720000,0.036,112.5
740000,0.037,121.1
760000,0.038,116.8
780000,0.039,109.6
800000,0.040,108.2
820000,0.041,113.9
840000,0.042,118.2
860000,0.043,112.5
880000,0.044,97.5
900000,0.045,118.2
920000,0.046,126.9
940000,0.047,124.0
960000,0.048,116.8
980000,0.049,109.6
1000000,0.050,126.9
1020000,0.051,128.3
1040000,0.052,109.6
1060000,0.053,122.3
1080000,0.054,125.4
1100000,0.055,136.9
1120000,0.056,124.0
1140000,0.057,131.2
1160000,0.058,119.7
1180000,0.059,134.1
1200000,0.060,112.5
1220000,0.061,122.6
1240000,0.062,130.1
1260000,0.063,126.9
1280000,0.064,136.9
1300000,0.065,129.8
1320000,0.066,135.5
1340000,0.067,132.6
1360000,0.068,126.9
1380000,0.069,125.4
1400000,0.070,121.1
1420000,0.071,117.7
1440000,0.072,135.5
1460000,0.073,112.5
1480000,0.074,106.7
1500000,0.075,93.8
1520000,0.076,98.1
1540000,0.077,101.0
1560000,0.078,95.2
1580000,0.079,102.4
1600000,0.080,86.7
1620000,0.081,90.9
1640000,0.082,105.3
1660000,0.083,111.0
1680000,0.084,85.2
1700000,0.085,103.9
1720000,0.086,139.8
1740000,0.087,134.1
1760000,0.088,135.5
1780000,0.089,128.5
1800000,0.090,131.2
1820000,0.091,135.5
1840000,0.092,112.5
1860000,0.093,126.9
1880000,0.094,129.8
1900000,0.095,42.0
1920000,0.096,67.9
1940000,0.097,70.8
1960000,0.098,72.8
1980000,0.099,72.2
2000000,0.100,67.9
2020000,0.101,75.1
2040000,0.102,86.6
2060000,0.103,78.0
2080000,0.104,70.8
2100000,0.105,69.3
2120000,0.106,70.8
2140000,0.107,74.3
2160000,0.108,66.5
2180000,0.109,60.7
2200000,0.110,79.4
2220000,0.111,73.6
2240000,0.112,69.3
2260000,0.113,70.8
2280000,0.114,75.1
2300000,0.115,73.6
2320000,0.116,66.6
