FPGA idle power [mW]:,3593.5

Program energy [mJ]:,10.40

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,21.9
20000,0.001,66.5
40000,0.002,111.1
60000,0.003,108.2
80000,0.004,39.1
100000,0.005,103.9
120000,0.006,148.5
140000,0.007,157.4
160000,0.008,160.0
180000,0.009,151.4
200000,0.010,162.9
220000,0.011,164.3
240000,0.012,154.2
260000,0.013,167.2
280000,0.014,170.1
300000,0.015,147.0
320000,0.016,131.1
340000,0.017,128.3
360000,0.018,137.0
380000,0.019,138.4
400000,0.020,139.9
420000,0.021,125.5
440000,0.022,141.3
460000,0.023,135.5
480000,0.024,138.4
500000,0.025,131.1
520000,0.026,139.9
540000,0.027,152.8
560000,0.028,137.0
580000,0.029,152.8
600000,0.030,155.7
620000,0.031,145.6
640000,0.032,149.9
660000,0.033,142.7
680000,0.034,143.5
700000,0.035,151.4
720000,0.036,139.9
740000,0.037,135.5
760000,0.038,137.0
780000,0.039,139.9
800000,0.040,139.9
820000,0.041,128.3
840000,0.042,135.5
860000,0.043,140.4
880000,0.044,128.3
900000,0.045,124.0
920000,0.046,118.3
940000,0.047,125.5
960000,0.048,126.9
980000,0.049,125.5
1000000,0.050,128.3
1020000,0.051,124.0
1040000,0.052,129.6
1060000,0.053,129.8
1080000,0.054,126.9
1100000,0.055,115.4
1120000,0.056,131.2
1140000,0.057,118.3
1160000,0.058,111.1
1180000,0.059,115.4
1200000,0.060,121.2
1220000,0.061,115.6
1240000,0.062,111.1
1260000,0.063,118.3
1280000,0.064,119.7
1300000,0.065,114.0
1320000,0.066,124.0
1340000,0.067,125.5
1360000,0.068,121.2
1380000,0.069,121.2
1400000,0.070,134.2
1420000,0.071,125.5
1440000,0.072,129.8
1460000,0.073,129.8
1480000,0.074,132.7
1500000,0.075,138.4
1520000,0.076,132.7
1540000,0.077,126.9
1560000,0.078,116.8
1580000,0.079,117.2
