FPGA idle power [mW]:,3578.3

Program energy [mJ]:,9.90

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,41.4
20000,0.001,64.4
40000,0.002,110.5
60000,0.003,86.0
80000,0.004,18.4
100000,0.005,122.0
120000,0.006,138.6
140000,0.007,139.2
160000,0.008,137.8
180000,0.009,145.0
200000,0.010,145.0
220000,0.011,137.8
240000,0.012,149.3
260000,0.013,162.2
280000,0.014,143.5
300000,0.015,129.3
320000,0.016,116.2
340000,0.017,137.8
360000,0.018,126.3
380000,0.019,124.8
400000,0.020,129.2
420000,0.021,122.0
440000,0.022,130.6
460000,0.023,124.8
480000,0.024,120.0
500000,0.025,127.7
520000,0.026,129.2
540000,0.027,132.0
560000,0.028,132.0
580000,0.029,139.2
600000,0.030,139.2
620000,0.031,137.8
640000,0.032,132.0
660000,0.033,137.0
680000,0.034,139.2
700000,0.035,134.9
720000,0.036,136.4
740000,0.037,137.8
760000,0.038,123.4
780000,0.039,123.4
800000,0.040,120.5
820000,0.041,127.7
840000,0.042,123.1
860000,0.043,129.2
880000,0.044,107.6
900000,0.045,98.9
920000,0.046,111.9
940000,0.047,104.7
960000,0.048,91.8
980000,0.049,97.5
1000000,0.050,117.6
1020000,0.051,120.0
1040000,0.052,104.7
1060000,0.053,117.6
1080000,0.054,116.2
1100000,0.055,116.2
1120000,0.056,116.2
1140000,0.057,116.2
1160000,0.058,110.5
1180000,0.059,117.6
1200000,0.060,102.9
1220000,0.061,88.9
1240000,0.062,103.3
1260000,0.063,103.3
1280000,0.064,109.0
1300000,0.065,90.3
1320000,0.066,94.6
1340000,0.067,110.5
1360000,0.068,97.5
1380000,0.069,101.4
1400000,0.070,106.1
1420000,0.071,106.1
1440000,0.072,104.7
1460000,0.073,106.1
1480000,0.074,124.8
1500000,0.075,122.0
1520000,0.076,110.5
1540000,0.077,107.6
1560000,0.078,110.7
1580000,0.079,111.9
1600000,0.080,114.8
1620000,0.081,96.1
1640000,0.082,100.4
1660000,0.083,103.3
1680000,0.084,98.9
