FPGA idle power [mW]:,3544.1

Program energy [mJ]:,8.81

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,6.5
20000,0.001,61.2
40000,0.002,64.1
60000,0.003,42.5
80000,0.004,67.0
100000,0.005,67.0
120000,0.006,64.3
140000,0.007,39.6
160000,0.008,39.6
180000,0.009,64.1
200000,0.010,64.1
220000,0.011,64.1
240000,0.012,62.7
260000,0.013,98.6
280000,0.014,94.3
300000,0.015,39.5
320000,0.016,49.7
340000,0.017,62.7
360000,0.018,68.4
380000,0.019,74.2
400000,0.020,62.7
420000,0.021,67.0
440000,0.022,81.4
460000,0.023,82.8
480000,0.024,76.7
500000,0.025,88.5
520000,0.026,85.7
540000,0.027,91.4
560000,0.028,85.7
580000,0.029,100.1
600000,0.030,98.6
620000,0.031,95.7
640000,0.032,81.4
660000,0.033,65.9
680000,0.034,85.7
700000,0.035,79.9
720000,0.036,68.4
740000,0.037,78.5
760000,0.038,75.6
780000,0.039,72.7
800000,0.040,78.5
820000,0.041,75.6
840000,0.042,75.2
860000,0.043,81.4
880000,0.044,77.0
900000,0.045,82.8
920000,0.046,97.2
940000,0.047,91.4
960000,0.048,84.2
980000,0.049,92.9
1000000,0.050,85.7
1020000,0.051,75.2
1040000,0.052,91.4
1060000,0.053,77.0
1080000,0.054,91.4
1100000,0.055,74.2
1120000,0.056,77.0
1140000,0.057,72.7
1160000,0.058,75.6
1180000,0.059,85.7
1200000,0.060,72.1
1220000,0.061,71.3
1240000,0.062,77.0
1260000,0.063,77.0
1280000,0.064,65.5
1300000,0.065,74.2
1320000,0.066,79.9
1340000,0.067,82.8
1360000,0.068,84.2
1380000,0.069,75.2
1400000,0.070,91.4
1420000,0.071,94.3
1440000,0.072,87.1
1460000,0.073,85.7
1480000,0.074,85.7
1500000,0.075,91.4
1520000,0.076,77.0
1540000,0.077,69.8
1560000,0.078,75.2
1580000,0.079,75.6
1600000,0.080,72.7
1620000,0.081,74.2
1640000,0.082,72.7
1660000,0.083,68.4
1680000,0.084,77.0
1700000,0.085,71.3
1720000,0.086,69.8
1740000,0.087,73.6
1760000,0.088,77.0
1780000,0.089,79.9
1800000,0.090,87.1
1820000,0.091,90.0
1840000,0.092,84.2
1860000,0.093,92.9
1880000,0.094,90.0
1900000,0.095,81.4
1920000,0.096,30.2
1940000,0.097,58.3
1960000,0.098,59.8
1980000,0.099,64.1
2000000,0.100,62.7
2020000,0.101,68.4
2040000,0.102,65.5
2060000,0.103,67.0
2080000,0.104,72.7
2100000,0.105,61.2
2120000,0.106,59.8
2140000,0.107,67.0
2160000,0.108,68.4
2180000,0.109,52.6
2200000,0.110,64.1
2220000,0.111,64.1
2240000,0.112,64.1
2260000,0.113,64.1
2280000,0.114,64.3
2300000,0.115,62.7
2320000,0.116,68.4
2340000,0.117,67.0
2360000,0.118,59.8
2380000,0.119,64.1
