FPGA idle power [mW]:,3579.7

Program energy [mJ]:,15.14

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,50.4
20000,0.001,110.5
40000,0.002,100.4
60000,0.003,106.2
80000,0.004,100.4
100000,0.005,104.7
120000,0.006,94.7
140000,0.007,40.0
160000,0.008,100.4
180000,0.009,120.1
200000,0.010,126.3
220000,0.011,116.2
240000,0.012,136.4
260000,0.013,140.7
280000,0.014,103.3
300000,0.015,74.5
320000,0.016,135.0
340000,0.017,142.1
360000,0.018,144.9
380000,0.019,146.5
400000,0.020,139.3
420000,0.021,140.7
440000,0.022,133.5
460000,0.023,152.2
480000,0.024,145.0
500000,0.025,143.6
520000,0.026,140.7
540000,0.027,140.3
560000,0.028,147.9
580000,0.029,149.3
600000,0.030,137.8
620000,0.031,143.6
640000,0.032,145.0
660000,0.033,140.7
680000,0.034,142.1
700000,0.035,142.1
720000,0.036,151.1
740000,0.037,145.0
760000,0.038,140.7
780000,0.039,142.1
800000,0.040,143.6
820000,0.041,146.5
840000,0.042,150.8
860000,0.043,143.6
880000,0.044,133.5
900000,0.045,144.9
920000,0.046,142.1
940000,0.047,140.7
960000,0.048,150.8
980000,0.049,147.9
1000000,0.050,135.0
1020000,0.051,145.0
1040000,0.052,146.5
1060000,0.053,143.6
1080000,0.054,129.4
1100000,0.055,153.7
1120000,0.056,149.3
1140000,0.057,142.1
1160000,0.058,137.8
1180000,0.059,143.6
1200000,0.060,146.5
1220000,0.061,142.1
1240000,0.062,136.4
1260000,0.063,143.4
1280000,0.064,142.1
1300000,0.065,152.2
1320000,0.066,140.7
1340000,0.067,136.4
1360000,0.068,143.6
1380000,0.069,150.8
1400000,0.070,136.4
1420000,0.071,139.3
1440000,0.072,149.6
1460000,0.073,135.0
1480000,0.074,133.5
1500000,0.075,129.2
1520000,0.076,127.8
1540000,0.077,133.5
1560000,0.078,132.1
1580000,0.079,130.6
1600000,0.080,136.4
1620000,0.081,132.5
1640000,0.082,137.8
1660000,0.083,132.1
1680000,0.084,120.6
1700000,0.085,140.7
1720000,0.086,137.8
1740000,0.087,149.3
1760000,0.088,143.6
1780000,0.089,142.1
1800000,0.090,144.9
1820000,0.091,143.6
1840000,0.092,145.0
1860000,0.093,145.0
1880000,0.094,122.0
1900000,0.095,55.8
1920000,0.096,113.4
1940000,0.097,120.6
1960000,0.098,114.8
1980000,0.099,110.8
2000000,0.100,117.7
2020000,0.101,113.4
2040000,0.102,106.2
2060000,0.103,119.1
2080000,0.104,116.2
2100000,0.105,114.8
2120000,0.106,116.2
2140000,0.107,114.8
2160000,0.108,109.3
2180000,0.109,119.1
2200000,0.110,109.1
2220000,0.111,117.7
2240000,0.112,113.4
2260000,0.113,119.1
2280000,0.114,119.1
2300000,0.115,117.7
