FPGA idle power [mW]:,3568.6

Program energy [mJ]:,14.74

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,51.1
20000,0.001,89.9
40000,0.002,92.8
60000,0.003,98.6
80000,0.004,87.1
100000,0.005,85.6
120000,0.006,83.2
140000,0.007,38.2
160000,0.008,84.2
180000,0.009,110.1
200000,0.010,118.7
220000,0.011,95.7
240000,0.012,127.3
260000,0.013,140.3
280000,0.014,89.9
300000,0.015,64.6
320000,0.016,124.5
340000,0.017,144.6
360000,0.018,144.6
380000,0.019,146.1
400000,0.020,137.4
420000,0.021,141.7
440000,0.022,143.2
460000,0.023,137.4
480000,0.024,146.7
500000,0.025,141.7
520000,0.026,143.2
540000,0.027,144.6
560000,0.028,141.7
580000,0.029,138.9
600000,0.030,144.6
620000,0.031,147.5
640000,0.032,143.2
660000,0.033,137.4
680000,0.034,147.5
700000,0.035,141.7
720000,0.036,147.5
740000,0.037,144.6
760000,0.038,147.5
780000,0.039,140.3
800000,0.040,140.3
820000,0.041,148.9
840000,0.042,149.8
860000,0.043,143.2
880000,0.044,141.7
900000,0.045,146.1
920000,0.046,146.1
940000,0.047,143.2
960000,0.048,148.9
980000,0.049,146.1
1000000,0.050,137.4
1020000,0.051,140.5
1040000,0.052,140.3
1060000,0.053,140.3
1080000,0.054,144.6
1100000,0.055,147.5
1120000,0.056,143.2
1140000,0.057,134.5
1160000,0.058,141.7
1180000,0.059,140.3
1200000,0.060,134.3
1220000,0.061,141.7
1240000,0.062,144.6
1260000,0.063,141.7
1280000,0.064,140.3
1300000,0.065,146.1
1320000,0.066,146.1
1340000,0.067,140.3
1360000,0.068,140.3
1380000,0.069,145.2
1400000,0.070,146.1
1420000,0.071,143.2
1440000,0.072,138.9
1460000,0.073,133.1
1480000,0.074,125.9
1500000,0.075,131.7
1520000,0.076,124.5
1540000,0.077,136.0
1560000,0.078,118.8
1580000,0.079,133.1
1600000,0.080,134.5
1620000,0.081,120.2
1640000,0.082,133.1
1660000,0.083,128.8
1680000,0.084,115.8
1700000,0.085,147.5
1720000,0.086,140.3
1740000,0.087,145.2
1760000,0.088,141.7
1780000,0.089,141.7
1800000,0.090,146.1
1820000,0.091,146.1
1840000,0.092,136.0
1860000,0.093,148.9
1880000,0.094,120.2
1900000,0.095,51.1
1920000,0.096,111.1
1940000,0.097,104.3
1960000,0.098,110.1
1980000,0.099,104.3
2000000,0.100,97.1
2020000,0.101,105.8
2040000,0.102,111.5
2060000,0.103,113.0
2080000,0.104,100.0
2100000,0.105,101.8
2120000,0.106,115.8
2140000,0.107,118.7
2160000,0.108,100.0
2180000,0.109,110.1
2200000,0.110,113.0
2220000,0.111,105.8
2240000,0.112,111.5
2260000,0.113,111.5
2280000,0.114,97.1
2300000,0.115,110.1
