FPGA idle power [mW]:,3561.5

Program energy [mJ]:,11.60

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,56.8
20000,0.001,99.9
40000,0.002,65.4
60000,0.003,67.1
80000,0.004,71.1
100000,0.005,74.0
120000,0.006,62.5
140000,0.007,23.7
160000,0.008,64.0
180000,0.009,64.0
200000,0.010,78.3
220000,0.011,74.0
240000,0.012,108.9
260000,0.013,118.6
280000,0.014,104.2
300000,0.015,22.2
320000,0.016,79.8
340000,0.017,97.0
360000,0.018,98.5
380000,0.019,92.7
400000,0.020,110.0
420000,0.021,108.9
440000,0.022,124.4
460000,0.023,114.3
480000,0.024,117.2
500000,0.025,124.4
520000,0.026,118.6
540000,0.027,117.2
560000,0.028,120.1
580000,0.029,124.4
600000,0.030,121.3
620000,0.031,108.6
640000,0.032,105.7
660000,0.033,110.0
680000,0.034,104.2
700000,0.035,105.7
720000,0.036,98.5
740000,0.037,107.1
760000,0.038,108.6
780000,0.039,98.0
800000,0.040,105.7
820000,0.041,112.9
840000,0.042,115.7
860000,0.043,124.4
880000,0.044,125.8
900000,0.045,124.4
920000,0.046,118.6
940000,0.047,111.4
960000,0.048,125.9
980000,0.049,124.4
1000000,0.050,130.1
1020000,0.051,127.3
1040000,0.052,108.6
1060000,0.053,105.7
1080000,0.054,108.6
1100000,0.055,91.3
1120000,0.056,108.6
1140000,0.057,115.1
1160000,0.058,115.7
1180000,0.059,98.5
1200000,0.060,107.1
1220000,0.061,112.9
1240000,0.062,105.7
1260000,0.063,114.3
1280000,0.064,125.8
1300000,0.065,124.4
1320000,0.066,127.5
1340000,0.067,112.9
1360000,0.068,122.9
1380000,0.069,121.5
1400000,0.070,122.9
1420000,0.071,121.5
1440000,0.072,121.5
1460000,0.073,99.9
1480000,0.074,99.9
1500000,0.075,107.3
1520000,0.076,118.6
1540000,0.077,102.8
1560000,0.078,110.0
1580000,0.079,101.4
1600000,0.080,97.0
1620000,0.081,110.0
1640000,0.082,107.1
1660000,0.083,108.6
1680000,0.084,125.9
1700000,0.085,127.3
1720000,0.086,130.1
1740000,0.087,122.9
1760000,0.088,117.2
1780000,0.089,125.8
1800000,0.090,118.6
1820000,0.091,35.2
1840000,0.092,84.1
1860000,0.093,84.1
1880000,0.094,87.0
1900000,0.095,94.2
1920000,0.096,82.7
1940000,0.097,85.5
1960000,0.098,95.6
1980000,0.099,94.2
2000000,0.100,88.4
2020000,0.101,91.3
2040000,0.102,84.1
2060000,0.103,88.4
2080000,0.104,81.2
2100000,0.105,89.8
2120000,0.106,95.6
2140000,0.107,82.7
2160000,0.108,84.1
2180000,0.109,88.4
2200000,0.110,88.4
2220000,0.111,91.8
2240000,0.112,82.7
2260000,0.113,87.0
