FPGA idle power [mW]:,3590.9

Program energy [mJ]:,9.09

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,64.8
20000,0.001,93.5
40000,0.002,96.4
60000,0.003,72.0
80000,0.004,30.2
100000,0.005,89.2
120000,0.006,126.0
140000,0.007,115.1
160000,0.008,132.4
180000,0.009,141.0
200000,0.010,139.6
220000,0.011,133.8
240000,0.012,136.7
260000,0.013,139.6
280000,0.014,133.8
300000,0.015,138.4
320000,0.016,138.1
340000,0.017,138.1
360000,0.018,142.5
380000,0.019,143.9
400000,0.020,136.7
420000,0.021,129.5
440000,0.022,141.0
460000,0.023,136.7
480000,0.024,138.4
500000,0.025,141.0
520000,0.026,138.1
540000,0.027,136.7
560000,0.028,138.1
580000,0.029,139.6
600000,0.030,145.3
620000,0.031,143.9
640000,0.032,133.8
660000,0.033,136.8
680000,0.034,130.9
700000,0.035,118.0
720000,0.036,136.7
740000,0.037,142.5
760000,0.038,136.7
780000,0.039,135.3
800000,0.040,136.7
820000,0.041,149.6
840000,0.042,144.6
860000,0.043,148.2
880000,0.044,126.6
900000,0.045,122.3
920000,0.046,126.6
940000,0.047,123.8
960000,0.048,123.8
980000,0.049,119.4
1000000,0.050,126.6
1020000,0.051,122.9
1040000,0.052,115.1
1060000,0.053,123.8
1080000,0.054,126.6
1100000,0.055,123.8
1120000,0.056,118.0
1140000,0.057,129.5
1160000,0.058,128.1
1180000,0.059,128.1
1200000,0.060,122.9
1220000,0.061,120.9
1240000,0.062,122.3
1260000,0.063,126.6
1280000,0.064,118.0
1300000,0.065,126.6
1320000,0.066,120.9
1340000,0.067,128.1
1360000,0.068,125.2
1380000,0.069,107.4
1400000,0.070,116.6
1420000,0.071,110.8
