FPGA idle power [mW]:,3575.5

Program energy [mJ]:,8.76

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,2.5
20000,0.001,34.1
40000,0.002,39.9
60000,0.003,38.4
80000,0.004,25.2
100000,0.005,15.4
120000,0.006,52.8
140000,0.007,116.1
160000,0.008,137.7
180000,0.009,137.7
200000,0.010,139.2
220000,0.011,139.2
240000,0.012,136.3
260000,0.013,135.2
280000,0.014,134.8
300000,0.015,134.8
320000,0.016,139.2
340000,0.017,137.7
360000,0.018,136.3
380000,0.019,139.2
400000,0.020,143.5
420000,0.021,134.8
440000,0.022,138.3
460000,0.023,140.6
480000,0.024,139.2
500000,0.025,142.0
520000,0.026,137.7
540000,0.027,140.6
560000,0.028,137.7
580000,0.029,143.5
600000,0.030,136.3
620000,0.031,127.4
640000,0.032,144.9
660000,0.033,146.3
680000,0.034,121.9
700000,0.035,116.1
720000,0.036,123.3
740000,0.037,140.6
760000,0.038,134.8
780000,0.039,137.7
800000,0.040,139.8
820000,0.041,146.3
840000,0.042,146.3
860000,0.043,129.1
880000,0.044,103.2
900000,0.045,119.0
920000,0.046,126.2
940000,0.047,113.3
960000,0.048,116.1
980000,0.049,121.2
1000000,0.050,130.5
1020000,0.051,119.0
1040000,0.052,123.3
1060000,0.053,120.4
1080000,0.054,114.7
1100000,0.055,110.4
1120000,0.056,108.9
1140000,0.057,117.6
1160000,0.058,122.8
1180000,0.059,111.8
1200000,0.060,114.7
1220000,0.061,121.9
1240000,0.062,121.9
1260000,0.063,120.4
1280000,0.064,117.6
1300000,0.065,123.3
1320000,0.066,119.0
1340000,0.067,118.1
1360000,0.068,119.0
1380000,0.069,110.4
1400000,0.070,117.6
1420000,0.071,117.6
1440000,0.072,97.4
1460000,0.073,103.2
