FPGA idle power [mW]:,3553.7

Program energy [mJ]:,9.40

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,43.9
20000,0.001,55.9
40000,0.002,53.1
60000,0.003,48.7
80000,0.004,64.6
100000,0.005,64.6
120000,0.006,64.6
140000,0.007,24.3
160000,0.008,61.7
180000,0.009,68.7
200000,0.010,61.7
220000,0.011,55.9
240000,0.012,86.1
260000,0.013,102.0
280000,0.014,83.3
300000,0.015,30.0
320000,0.016,67.4
340000,0.017,71.8
360000,0.018,68.7
380000,0.019,77.5
400000,0.020,71.8
420000,0.021,86.1
440000,0.022,96.2
460000,0.023,86.1
480000,0.024,86.1
500000,0.025,97.6
520000,0.026,97.6
540000,0.027,99.6
560000,0.028,90.5
580000,0.029,93.3
600000,0.030,104.8
620000,0.031,102.0
640000,0.032,83.3
660000,0.033,71.8
680000,0.034,78.9
700000,0.035,89.0
720000,0.036,65.6
740000,0.037,70.3
760000,0.038,81.8
780000,0.039,84.7
800000,0.040,77.5
820000,0.041,61.7
840000,0.042,73.2
860000,0.043,71.8
880000,0.044,96.2
900000,0.045,78.0
920000,0.046,93.3
940000,0.047,103.4
960000,0.048,93.3
980000,0.049,96.2
1000000,0.050,90.5
1020000,0.051,90.5
1040000,0.052,86.1
1060000,0.053,89.0
1080000,0.054,85.7
1100000,0.055,81.8
1120000,0.056,81.8
1140000,0.057,78.9
1160000,0.058,77.5
1180000,0.059,83.3
1200000,0.060,84.7
1220000,0.061,67.4
1240000,0.062,74.6
1260000,0.063,81.0
1280000,0.064,78.9
1300000,0.065,84.7
1320000,0.066,96.2
1340000,0.067,93.3
1360000,0.068,104.8
1380000,0.069,93.3
1400000,0.070,103.4
1420000,0.071,100.5
1440000,0.072,88.8
1460000,0.073,91.9
1480000,0.074,97.6
1500000,0.075,87.6
1520000,0.076,93.3
1540000,0.077,68.9
1560000,0.078,67.4
1580000,0.079,89.0
1600000,0.080,76.1
1620000,0.081,70.2
1640000,0.082,71.8
1660000,0.083,78.9
1680000,0.084,71.8
1700000,0.085,60.2
1720000,0.086,86.1
1740000,0.087,84.7
1760000,0.088,97.6
1780000,0.089,97.6
1800000,0.090,90.3
1820000,0.091,99.1
1840000,0.092,94.8
1860000,0.093,100.5
1880000,0.094,89.0
1900000,0.095,78.9
1920000,0.096,32.9
1940000,0.097,73.2
1960000,0.098,66.0
1980000,0.099,65.6
2000000,0.100,71.8
2020000,0.101,71.8
2040000,0.102,68.9
2060000,0.103,73.2
2080000,0.104,80.4
2100000,0.105,71.8
2120000,0.106,60.2
2140000,0.107,64.6
2160000,0.108,67.1
2180000,0.109,70.3
2200000,0.110,67.4
2220000,0.111,70.3
2240000,0.112,70.3
2260000,0.113,70.3
2280000,0.114,63.1
2300000,0.115,67.4
2320000,0.116,74.6
2340000,0.117,64.0
2360000,0.118,61.7
2380000,0.119,68.9
