FPGA idle power [mW]:,3559.9

Program energy [mJ]:,11.12

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,61.2
20000,0.001,101.5
40000,0.002,70.2
60000,0.003,71.3
80000,0.004,97.2
100000,0.005,82.8
120000,0.006,101.5
140000,0.007,31.0
160000,0.008,58.4
180000,0.009,77.1
200000,0.010,67.0
220000,0.011,71.8
240000,0.012,108.7
260000,0.013,103.0
280000,0.014,98.6
300000,0.015,33.9
320000,0.016,74.2
340000,0.017,75.6
360000,0.018,85.7
380000,0.019,87.1
400000,0.020,90.3
420000,0.021,79.9
440000,0.022,110.2
460000,0.023,110.2
480000,0.024,103.0
500000,0.025,107.3
520000,0.026,108.7
540000,0.027,100.1
560000,0.028,114.5
580000,0.029,110.5
600000,0.030,108.7
620000,0.031,110.2
640000,0.032,111.6
660000,0.033,95.8
680000,0.034,91.4
700000,0.035,98.6
720000,0.036,97.2
740000,0.037,77.1
760000,0.038,77.9
780000,0.039,108.7
800000,0.040,91.4
820000,0.041,100.1
840000,0.042,100.1
860000,0.043,94.3
880000,0.044,107.3
900000,0.045,110.2
920000,0.046,108.7
940000,0.047,119.8
960000,0.048,105.8
980000,0.049,105.8
1000000,0.050,111.6
1020000,0.051,111.6
1040000,0.052,107.3
1060000,0.053,110.2
1080000,0.054,90.0
1100000,0.055,95.8
1120000,0.056,98.1
1140000,0.057,97.2
1160000,0.058,84.3
1180000,0.059,95.8
1200000,0.060,98.6
1220000,0.061,97.2
1240000,0.062,78.5
1260000,0.063,91.4
1280000,0.064,95.8
1300000,0.065,87.2
1320000,0.066,113.0
1340000,0.067,101.5
1360000,0.068,107.3
1380000,0.069,110.2
1400000,0.070,98.6
1420000,0.071,113.0
1440000,0.072,120.2
1460000,0.073,113.0
1480000,0.074,108.9
1500000,0.075,108.7
1520000,0.076,100.1
1540000,0.077,97.2
1560000,0.078,82.8
1580000,0.079,101.5
1600000,0.080,95.8
1620000,0.081,100.1
1640000,0.082,90.0
1660000,0.083,87.2
1680000,0.084,82.8
1700000,0.085,87.1
1720000,0.086,94.3
1740000,0.087,98.6
1760000,0.088,110.2
1780000,0.089,113.0
1800000,0.090,111.6
1820000,0.091,111.6
1840000,0.092,107.4
1860000,0.093,108.7
1880000,0.094,107.3
1900000,0.095,71.3
1920000,0.096,44.0
1940000,0.097,85.7
1960000,0.098,84.3
1980000,0.099,78.5
2000000,0.100,84.3
2020000,0.101,85.7
2040000,0.102,75.6
2060000,0.103,71.3
2080000,0.104,81.4
2100000,0.105,88.6
2120000,0.106,78.5
2140000,0.107,82.8
2160000,0.108,68.4
2180000,0.109,79.9
2200000,0.110,88.8
2220000,0.111,85.7
2240000,0.112,77.1
2260000,0.113,79.9
2280000,0.114,85.7
2300000,0.115,77.1
2320000,0.116,78.5
2340000,0.117,87.1
2360000,0.118,81.4
2380000,0.119,74.8
