FPGA idle power [mW]:,3549.0

Program energy [mJ]:,8.34

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,11.7
20000,0.001,44.8
40000,0.002,43.4
60000,0.003,23.2
80000,0.004,47.7
100000,0.005,50.1
120000,0.006,53.4
140000,0.007,37.6
160000,0.008,29.0
180000,0.009,30.4
200000,0.010,27.5
220000,0.011,31.9
240000,0.012,27.5
260000,0.013,21.8
280000,0.014,30.0
300000,0.015,37.6
320000,0.016,24.7
340000,0.017,39.0
360000,0.018,36.2
380000,0.019,34.7
400000,0.020,37.6
420000,0.021,39.0
440000,0.022,29.0
460000,0.023,45.5
480000,0.024,72.1
500000,0.025,77.9
520000,0.026,82.2
540000,0.027,77.9
560000,0.028,73.6
580000,0.029,80.8
600000,0.030,79.3
620000,0.031,88.0
640000,0.032,71.8
660000,0.033,76.5
680000,0.034,76.5
700000,0.035,80.8
720000,0.036,64.9
740000,0.037,85.1
760000,0.038,77.9
780000,0.039,86.5
800000,0.040,80.8
820000,0.041,74.9
840000,0.042,77.9
860000,0.043,75.0
880000,0.044,72.1
900000,0.045,85.1
920000,0.046,83.6
940000,0.047,77.9
960000,0.048,76.5
980000,0.049,77.9
1000000,0.050,81.1
1020000,0.051,75.0
1040000,0.052,72.1
1060000,0.053,85.1
1080000,0.054,86.5
1100000,0.055,75.0
1120000,0.056,80.8
1140000,0.057,76.5
1160000,0.058,75.0
1180000,0.059,73.4
1200000,0.060,76.5
1220000,0.061,77.9
1240000,0.062,86.5
1260000,0.063,79.3
1280000,0.064,77.9
1300000,0.065,79.3
1320000,0.066,85.1
1340000,0.067,85.1
1360000,0.068,81.1
1380000,0.069,76.5
1400000,0.070,82.2
1420000,0.071,83.6
1440000,0.072,80.8
1460000,0.073,77.9
1480000,0.074,76.5
1500000,0.075,85.1
1520000,0.076,80.8
1540000,0.077,76.5
1560000,0.078,80.8
1580000,0.079,83.6
1600000,0.080,79.3
1620000,0.081,88.0
1640000,0.082,76.5
1660000,0.083,72.1
1680000,0.084,92.3
1700000,0.085,80.8
1720000,0.086,74.9
1740000,0.087,76.5
1760000,0.088,85.1
1780000,0.089,83.6
1800000,0.090,72.1
1820000,0.091,82.2
1840000,0.092,76.5
1860000,0.093,95.2
1880000,0.094,64.9
1900000,0.095,73.4
1920000,0.096,82.2
1940000,0.097,85.1
1960000,0.098,70.7
1980000,0.099,29.0
2000000,0.100,66.4
2020000,0.101,67.8
2040000,0.102,64.9
2060000,0.103,62.1
2080000,0.104,70.3
2100000,0.105,67.8
2120000,0.106,70.7
2140000,0.107,63.5
2160000,0.108,60.6
2180000,0.109,66.4
2200000,0.110,72.1
2220000,0.111,57.8
2240000,0.112,70.7
2260000,0.113,71.8
2280000,0.114,75.0
2300000,0.115,66.4
2320000,0.116,66.4
2340000,0.117,67.8
2360000,0.118,62.1
2380000,0.119,69.3
2400000,0.120,62.1
2420000,0.121,59.2
2440000,0.122,79.6
