FPGA idle power [mW]:,3574.6

Program energy [mJ]:,7.30

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,0.5
20000,0.001,24.5
40000,0.002,32.2
60000,0.003,23.5
80000,0.004,14.9
100000,0.005,9.1
120000,0.006,14.9
140000,0.007,83.9
160000,0.008,82.5
180000,0.009,107.0
200000,0.010,117.5
220000,0.011,112.7
240000,0.012,108.4
260000,0.013,109.8
280000,0.014,117.0
300000,0.015,99.8
320000,0.016,108.4
340000,0.017,119.9
360000,0.018,96.9
380000,0.019,105.1
400000,0.020,108.4
420000,0.021,108.4
440000,0.022,98.3
460000,0.023,108.4
480000,0.024,99.8
500000,0.025,104.1
520000,0.026,107.0
540000,0.027,105.5
560000,0.028,100.4
580000,0.029,99.8
600000,0.030,112.7
620000,0.031,118.5
640000,0.032,91.1
660000,0.033,112.7
680000,0.034,125.7
700000,0.035,111.3
720000,0.036,112.7
740000,0.037,122.1
760000,0.038,124.2
780000,0.039,118.5
800000,0.040,101.2
820000,0.041,128.5
840000,0.042,127.1
860000,0.043,121.3
880000,0.044,98.3
900000,0.045,66.7
920000,0.046,69.4
940000,0.047,66.7
960000,0.048,55.2
980000,0.049,66.7
1000000,0.050,72.4
1020000,0.051,71.0
1040000,0.052,78.2
1060000,0.053,91.1
1080000,0.054,81.1
1100000,0.055,83.4
1120000,0.056,72.4
1140000,0.057,78.2
1160000,0.058,82.5
1180000,0.059,81.1
1200000,0.060,71.0
1220000,0.061,81.1
1240000,0.062,81.1
1260000,0.063,68.1
1280000,0.064,54.0
1300000,0.065,59.5
1320000,0.066,58.0
1340000,0.067,68.1
1360000,0.068,69.6
1380000,0.069,58.0
1400000,0.070,63.8
1420000,0.071,66.7
1440000,0.072,60.9
1460000,0.073,47.8
1480000,0.074,75.3
1500000,0.075,86.8
1520000,0.076,83.9
1540000,0.077,72.4
1560000,0.078,78.2
1580000,0.079,85.4
1600000,0.080,78.2
1620000,0.081,72.4
1640000,0.082,81.8
1660000,0.083,71.0
1680000,0.084,86.8
1700000,0.085,53.7
1720000,0.086,60.9
1740000,0.087,39.3
