FPGA idle power [mW]:,3577.6

Program energy [mJ]:,10.06

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,4.7
20000,0.001,14.8
40000,0.002,14.8
60000,0.003,34.9
80000,0.004,36.3
100000,0.005,19.1
120000,0.006,72.6
140000,0.007,106.8
160000,0.008,122.7
180000,0.009,129.9
200000,0.010,124.1
220000,0.011,125.5
240000,0.012,134.2
260000,0.013,134.2
280000,0.014,119.8
300000,0.015,126.9
320000,0.016,125.5
340000,0.017,124.1
360000,0.018,125.5
380000,0.019,111.2
400000,0.020,122.7
420000,0.021,122.7
440000,0.022,121.2
460000,0.023,119.8
480000,0.024,112.9
500000,0.025,114.0
520000,0.026,121.2
540000,0.027,122.7
560000,0.028,128.4
580000,0.029,131.3
600000,0.030,135.6
620000,0.031,137.1
640000,0.032,131.3
660000,0.033,140.8
680000,0.034,132.7
700000,0.035,132.7
720000,0.036,132.7
740000,0.037,132.7
760000,0.038,124.1
780000,0.039,138.5
800000,0.040,134.2
820000,0.041,134.2
840000,0.042,123.8
860000,0.043,138.5
880000,0.044,128.4
900000,0.045,134.2
920000,0.046,135.6
940000,0.047,131.3
960000,0.048,134.2
980000,0.049,127.0
1000000,0.050,128.4
1020000,0.051,128.4
1040000,0.052,124.1
1060000,0.053,138.5
1080000,0.054,132.7
1100000,0.055,118.3
1120000,0.056,112.6
1140000,0.057,118.3
1160000,0.058,115.5
1180000,0.059,119.8
1200000,0.060,99.0
1220000,0.061,116.9
1240000,0.062,102.5
1260000,0.063,115.5
1280000,0.064,106.8
1300000,0.065,114.0
1320000,0.066,111.2
1340000,0.067,119.8
1360000,0.068,111.2
1380000,0.069,100.5
1400000,0.070,109.7
1420000,0.071,121.2
1440000,0.072,106.8
1460000,0.073,109.7
1480000,0.074,115.5
1500000,0.075,114.0
1520000,0.076,112.6
1540000,0.077,108.3
1560000,0.078,116.0
1580000,0.079,116.9
1600000,0.080,114.0
1620000,0.081,115.5
1640000,0.082,111.2
1660000,0.083,118.3
1680000,0.084,119.8
1700000,0.085,106.8
1720000,0.086,112.6
1740000,0.087,117.6
