FPGA idle power [mW]:,3553.6

Program energy [mJ]:,6.87

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,5.7
20000,0.001,43.1
40000,0.002,43.1
60000,0.003,44.5
80000,0.004,41.6
100000,0.005,42.4
120000,0.006,48.8
140000,0.007,25.8
160000,0.008,24.4
180000,0.009,46.0
200000,0.010,47.4
220000,0.011,46.0
240000,0.012,53.2
260000,0.013,73.3
280000,0.014,68.8
300000,0.015,43.1
320000,0.016,27.3
340000,0.017,51.7
360000,0.018,47.4
380000,0.019,54.6
400000,0.020,57.5
420000,0.021,56.0
440000,0.022,63.2
460000,0.023,61.0
480000,0.024,63.2
500000,0.025,50.3
520000,0.026,56.0
540000,0.027,64.7
560000,0.028,58.9
580000,0.029,60.3
600000,0.030,58.9
620000,0.031,64.7
640000,0.032,57.9
660000,0.033,57.5
680000,0.034,64.7
700000,0.035,58.9
720000,0.036,60.3
740000,0.037,53.2
760000,0.038,57.5
780000,0.039,64.7
800000,0.040,63.2
820000,0.041,48.6
840000,0.042,54.6
860000,0.043,56.0
880000,0.044,66.1
900000,0.045,57.5
920000,0.046,64.7
940000,0.047,60.3
960000,0.048,61.8
980000,0.049,56.0
1000000,0.050,59.5
1020000,0.051,66.1
1040000,0.052,54.6
1060000,0.053,50.3
1080000,0.054,58.9
1100000,0.055,57.5
1120000,0.056,54.6
1140000,0.057,54.6
1160000,0.058,66.1
1180000,0.059,53.3
1200000,0.060,56.0
1220000,0.061,57.5
1240000,0.062,58.9
1260000,0.063,56.0
1280000,0.064,58.9
1300000,0.065,54.6
1320000,0.066,56.0
1340000,0.067,63.2
1360000,0.068,57.9
1380000,0.069,58.9
1400000,0.070,60.3
1420000,0.071,54.6
1440000,0.072,60.3
1460000,0.073,53.2
1480000,0.074,57.5
1500000,0.075,61.8
1520000,0.076,61.8
1540000,0.077,45.5
1560000,0.078,58.9
1580000,0.079,54.6
1600000,0.080,51.7
1620000,0.081,53.2
1640000,0.082,66.1
1660000,0.083,58.9
1680000,0.084,57.5
1700000,0.085,54.6
1720000,0.086,57.9
1740000,0.087,54.6
1760000,0.088,51.7
1780000,0.089,57.5
1800000,0.090,57.5
1820000,0.091,58.9
1840000,0.092,58.9
1860000,0.093,66.1
1880000,0.094,60.3
1900000,0.095,51.7
1920000,0.096,61.8
1940000,0.097,50.3
1960000,0.098,66.1
1980000,0.099,57.5
2000000,0.100,57.5
2020000,0.101,60.3
2040000,0.102,57.5
2060000,0.103,50.3
2080000,0.104,33.1
2100000,0.105,60.3
2120000,0.106,56.0
2140000,0.107,51.7
2160000,0.108,54.6
2180000,0.109,58.9
2200000,0.110,48.8
2220000,0.111,46.0
2240000,0.112,50.3
2260000,0.113,51.7
2280000,0.114,44.5
2300000,0.115,43.1
2320000,0.116,56.0
2340000,0.117,53.2
2360000,0.118,56.0
2380000,0.119,50.3
2400000,0.120,51.7
2420000,0.121,44.5
2440000,0.122,56.4
2460000,0.123,44.5
2480000,0.124,47.4
2500000,0.125,61.8
